Name,Source,Entry,Size,Type,Subtypes,Classify 1,Classify 2,Classify 3,Classify 4
"Malgoth, Abyssal Entity",Dungeon #119,Unique,Colossal,Outsider,"Chaotic, Evil, Extraplanar, Incorporeal, Tanar'ri",Demon,Tanar'ri,Malgoth,
Tzolo's Guardian,Dungeon #138,Unique,Medium,Outsider,"Earth, Evil, Extraplanar, Water",Tzolo's Guardian,,,
Khala,Dungeon #145,Unique,Large,Outsider,"Aquatic, Chaotic, Evil, Native, Tanar'ri",Aspect,Demogorgon,Khala,
Shami-Amourae,Dungeon #148,Unique,Medium,Outsider,"Chaotic, Evil, Tanar'ri",Demon,Lord,Shami-Amourae,
Charon,Dungeon #149,Unique,Medium,Outsider,"Extraplanar, Evil, Yugoloth",Yugoloth,Charon,,
General Bagromar,Dungeon #149,Unique,Huge,Outsider,"Aquatic, Chaotic, Evil, Tanar'ri",Demon,Lord,General Bagromar,
"Gorgant, the Two-Faced",Dungeon #149,Unique,Large,Outsider,"Chaotic, Evil, Tanar'ri",Aspect,Demogorgon,Gorgant,
Major Enderan,Dungeon #149,Unique,Large,Outsider,"Chaotic, Evil, Tanar'ri",Demon,Lord,Major Enderan,
"Orcus, Prince of Undead",Dungeon #149,Unique,Large,Outsider,"Chaotic, Evil, Tanar'ri",Demon,Lord,Orcus,
Arendagrost: Maw of the Abyss,Dungeon #150,Unique,Gargantuan,Outsider,"Aquatic, Chaotic, Evil, Tanar'ri",Demon,Tanar'ri,Arendagrost,
Demogorgon,Dungeon #150,Unique,Huge,Outsider,"Aquatic, Chaotic, Evil, Extraplanar, Tanar'ri",Demon,Lord,Demogorgon,
Fiend-Sage of Rel Astra,Dungeon #150,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar, Tanar'ri",Demon,Tanar'ri,Molydeus,Fiend-Sage of Rel Astra
Aspect of Sertrous,Elder Evils,Unique,Gargantuan,Outsider,"Chaotic, Evil, Extraplanar, Obyrith",Aspect,Sertrous,,
Avemerin,Elder Evils,Unique,Large,Outsider,"Angel, Extraplanar, Good",Angel,Planetar,Avemerin,
Father Llymic,Elder Evils,Unique,Huge,Outsider,Chaotic,Father Llymic,,,
Irthicax Van,Elder Evils,Unique,Medium,Outsider,Extraplanar,Zenythri,Irthicax Van,,
Zargon the Returner,Elder Evils,Unique,Huge,Outsider,"Evil, Lawful",Zargon the Returner,,,
Zuvexus,Elder Evils,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar, Tanar'ri",Demon,Tanar'ri,Marilith,Zuvexus
Aspect of Hacamuli,Frilond Campaign,Unique,Large,Outsider,"Chaotic, Demon, Evil, Extraplanar",Demon,Hacamuli,,
Imp of Possession,Knowledge Arcana: Issue 7,Unique,Tiny,Outsider,"Extraplanar, Evil, Lawful",Imp of Possession,,,
"Ruvoka, Zuleta",Legends of Athas,Unique,Medium,Outsider,"Native, Water",Ruvoka,Zuleta,,
Azgalor,Manual of Monsters,Unique,Huge,Outsider,"Chaotic, Demonic, Evil, Extraplanar",Pit Lord,General,Azgalor,
Illidan Stormrage,Manual of Monsters,Unique,Medium,Outsider,"Demonic, Evil",Elf,Azeroth,Night,Illidan Stormrage
Dalmosh,Monster Manual V,Unique,Gargantuan,Outsider,"Chaotic, Evil, Extraplanar",Dalmosh,,,
Illurien,Monster Manual V,Unique,Large,Outsider,"Evil, Extraplanar",Illurien,,,
"Byakala, Smoking Eye Maralith Demon",Shackled City Adventure Path,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar, Tanar'ri",Demon,Tanar'ri,Marilith,Smoking Eye
Alexstrasza the Life-Binder,Shadows & Light,Unique,Colossal,Outsider,"Eternal, Fire",Dragon Aspect,Alexstrasza,,
Malygos the Spellweaver,Shadows & Light,Unique,Colossal,Outsider,"Cold, Earth, Eternal",Dragon Aspect,Malygos,,
Neltharion the Earth-Warder (Deathwing),Shadows & Light,Unique,Colossal,Outsider,"Earth, Eternal",Dragon Aspect,Neltharion,,
Nozdormu the Timeless,Shadows & Light,Unique,Colossal,Outsider,"Eternal, Fire",Dragon Aspect,Nozdormu,,
Ysera the Dreamer,Shadows & Light,Unique,Colossal,Outsider,"Air, Eternal, Extraplanar",Dragon Aspect,Ysera,,
Daemon: Charon (Boatman of the Planes),Tome of Horrors Revised,Unique,Medium,Outsider,"Evil, Extraplanar",Yugoloth,Charon,,
Daemon: The Oinodaemon,Tome of Horrors Revised,Unique,Large,Outsider,"Evil, Extraplanar",Yugoloth,Oinoloth,,
Demon: Baphomet (Demon Lord),Tome of Horrors Revised,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar",Demon,Lord,Baphomet,
Demon: Fraz-Urb'luu (Demon Prince),Tome of Horrors Revised,Unique,Huge,Outsider,"Chaotic, Evil, Extraplanar",Demon,Lord,Fraz-Urb'luu,
"Demon: Jubilex ""The Faceless Lord"" (Demon Lord)",Tome of Horrors Revised,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar",Demon,Lord,Juiblex,
Demon: Kostchtchie (Demon Lord),Tome of Horrors Revised,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar",Demon,Lord,Kostchtchie,
Demon: Orcus (Demon Prince of Undead),Tome of Horrors Revised,Unique,Huge,Outsider,"Chaotic, Evil, Extraplanar",Demon,Lord,Orcus,
Demon: Pazuzu (Demon Prince of Air),Tome of Horrors Revised,Unique,Large,Outsider,"Chaotic, Evil, Extraplanar",Demon,Lord,Pazuzu,
Devil: Amon (Duke of Hell),Tome of Horrors Revised,Unique,Large,Outsider,"Evil, Lawful, Extraplanar",Devil,Archdevil,Amon,
Devil: Bael (Duke of Hell),Tome of Horrors Revised,Unique,Large,Outsider,"Evil, Extraplanar, Lawful",Devil,Archdevil,Bael,
Devil: Geryon (Arch-Devil),Tome of Horrors Revised,Unique,Huge,Outsider,"Evil, Extraplanar, Lawful",Devil,Archdevil,Geryon,
Devil: Hutijin (Duke of Hell),Tome of Horrors Revised,Unique,Large,Outsider,"Evil, Extraplanar, Lawful",Devil,Archdevil,Hutijin,
Devil: Moloch (Arch Devil),Tome of Horrors Revised,Unique,Large,Outsider,"Evil, Extraplanar, Lawful",Devil,Archdevil,Moloch,
Devil: Titivilus,Tome of Horrors Revised,Unique,Medium,Outsider,"Evil, Extraplanar, Lawful",Devil,Archdevil,Titivilus,
Slaad Lord: Lord of Entropy,Tome of Horrors Revised,Unique,Large,Outsider,"Chaotic, Extraplanar",Slaad,Lord,Ygorl,
Slaad Lord: Lord of the Insane,Tome of Horrors Revised,Unique,Medium,Outsider,"Chaotic, Extraplanar",Slaad,Lord,Ssendam,
Demon Ruler Avatar: Demogorgon,Vaults of Pandius,Unique,Huge,Outsider,"Chaos, Evil, Exalted, Extraplanar",Demon,Lord,Demogorgon,
Demon Ruler Avatar: Orcus,Vaults of Pandius,Unique,Large,Outsider,"Chaos, Evil, Exalted, Extraplanar",Demon,Lord,Orcus,
Roaring Demon (Alphaks),Vaults of Pandius,Unique,Large,Outsider,"Chaos, Extraplanar, Evil, Augmented Human",Alphaks,,,
Shedu (Idu's Avatar),Vaults of Pandius,Unique,Large,Outsider,"Extraplanar, Good, Lawful",Shedu,Greater,Idu's Avatar,
Hsing Tung No Oni,Wizards of the Coast (Random Encounters: The Legacy of Aramitama Yurei),Unique,Large,Outsider,"Evil, Shadowlands",Oni,Shadowlands,Hsing Tung No Oni,
Eramis Fabron,Age of Mortals,Unique,Medium,Undead,Augmented Humanoid,Bound Spirit,Human,,
"Skull of Skullport, Arcanist Skull","Bestiary of the Realms, Volume 2",Unique,Diminutive,Undead,,Skull of Skullport,Arcanist Skull,,
"Skull of Skullport, Vassal Skull","Bestiary of the Realms, Volume 2",Unique,Diminutive,Undead,,Skull of Skullport,Vassal Skull,,
Aumvor the Undying,Champions of Ruin,Unique,Medium,Undead,Augmented Elite Humanoid,Lich,Human,Netherese Elite,
Ambuchar Devayam (Tan Chin),Creature Catalogue,Unique,Medium,Undead,"Extraplanar, Incorporeal",Ambuchar Devayam,,,
Dhrakoth the Corrupter,Creature Catalogue,Unique,Colossal,Undead,Extraplanar,Dragon,Dhrakoth,,
Ambient,Dark Tales and Disturbing Legends,Unique,Medium,Undead,Incorporeal,Ambient,,,
Kobasten of House Naelax,Dragon #339,Unique,Medium,Undead,Augmented Humanoid,Animus,Human,Kobasten,
King Beneath the Hill,Dragon #348,Unique,Huge,Undead,,Gravewight,Storm Giant,,
Shivra,Dragon #355,Unique,Huge,Undead,Extraplanar,Devourer,Shivra,,
Aurglorosa,Dragon: Monster Ecologies,Unique,Huge,Undead,,Dracolich,Aurglorosa,,
"Dregoth, the Dread King",Dregoth Ascending Part III: The Ascension,Unique,Gargantuan,Undead,,Dregoth,,,
Vlaakith the Lich-Queen,Dungeon #100,Unique,Medium,Undead,,Githyanki,Vlaakith the Lich-Queen,,
Majalor,Dungeon #138,Unique,Medium,Undead,,Majalor,,,
Gorguth,Elder Evils,Unique,Medium,Undead,Extraplanar,Bodak,Gorguth,,
Lucather Majii,Elder Evils,Unique,Medium,Undead,Incorporeal,Quell,Lucather Majii,,
Kheled Batras,Faces of the Forgotten North,Unique,Medium,Undead,"Augmented Humanoid, Incorporeal, Psionic",Psionic Tenant,Kheled Batras,,
The Risen King,Fortress of the Yuan-Ti (DD3),Unique,Medium,Undead,,Risen King,,,
"Abrakkar the Wretched, Orc Lich",Manual of Monsters,Unique,Medium,Undead,Augmented Humanoid,Lich,Orc,Abrakkar,
"Borivar, Half-Elf Wraith",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Incorporeal",Wraith,Azeroth,Half-Elf,
"Chauch-Eta, Half-Orc",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Scourge",Skeleton,Skeletal Mage,Azeroth,Half-Orc
Frost Wyrm,Manual of Monsters,Unique,Huge,Undead,"Cold, Earth, Scourge",Withered, Blue Dragon,,
"Gehinnis, Human Zombie",Manual of Monsters,Unique,Medium,Undead,Augmented Humanoid,Zombie,Azeroth,Human,
"Hermidia, Human",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Scourge",Forsaken,Human,,
"Ielephia, Half-Elf Banshee",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Incorporeal, Scourge",Banshee,Azeroth,Half-Elf,
Kel'Thuzad,Manual of Monsters,Unique,Medium,Undead,Independent,Lich,Azeroth,Kel'Thuzad,
"Kovech, Human Skeletal Warrior",Manual of Monsters,Unique,Medium,Undead,Augmented Humanoid,Skeleton,Skeletal Warrior,Azeroth,Human
Lich King,Manual of Monsters,Unique,Medium,Undead,Independent,Lich,Azeroth,Lich King,
"Marijah, Human Ghost",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Azeroth,Human,
Sylvanas Windrunner,Manual of Monsters,Unique,Medium,Undead,Independent,Banshee,Azeroth,Sylvanas Windrunner,
"Tourril, Human Shade",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Scourge",Shade,Azeroth,Human,
"Vasilii, Nerubian Crypt Fiend",Manual of Monsters,Unique,Large,Undead,"Augmented Aberration, Scourge",Crypt Fiend,Nerubian,,
"Zoblam, Orc Ghoul",Manual of Monsters,Unique,Medium,Undead,"Augmented Humanoid, Scourge",Ghoul of the Scourge,Orc,,
"Kugan, Phantom Ghast Ninja",Monster Manual V,Unique,Medium,Undead,,Phantom,Ghast,Kugan,
"Vampire, Black Duke",Monster Manual V,Unique,Medium,Undead,Augmented Humanoid,Vampire,Black Duke,,
"Vampire, Red Widow",Monster Manual V,Unique,Medium,Undead,Augmented Humanoid,Vampire,Red Widow,,
Es Sarch,Sinister Spire (DD2),Unique,Medium,Undead,,Es Sarch,,,
"Asus, Human Kaisharga",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Kaisharga,Asus,,
"Chalras, Half-Elf Thinking Zombie",Terrors of the Deadlands,Unique,Medium,Undead,Augmented Humanoid,Zombie,Thinking,Chalras,
"Daahm, Elf T'liz",Terrors of the Deadlands,Unique,Medium,Undead,Augmented Humanoid,T'liz,Elf,,
"Fortrumpp, Human Fael",Terrors of the Deadlands,Unique,Medium,Undead,Augmented Humanoid,Fael,Human,,
"Kirahm Mulfather, Dwarf Banshee",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Banshee,Dwarf,,
"Kozor the Bereaved, Gnome Venger",Terrors of the Deadlands,Unique,Small,Undead,"Augmented Humanoid, Psionic",Venger,Gnome,,
"Mithia, Human Dhaot",Terrors of the Deadlands,Unique,Small,Undead,"Augmented Humanoid, Incorporeal",Dhaot,Human,,
"Nevalaeg, Elf Raaig",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Raaig,Elf,,
"Pad'runas, Half-Elf Namech",Terrors of the Deadlands,Unique,Medium,Undead,Augmented Humanoid,Namech,Half-Elf,,
"Pru-harta, Halfling Racked Spirit",Terrors of the Deadlands,Unique,Small,Undead,"Augmented Humanoid, Incorporeal, Psionic",Racked Spirit,Halfling,,
"Reklez, Human Fallen",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Fallen,Human,,
"Sekdo Azeg, Human Morg",Terrors of the Deadlands,Unique,Medium,Undead,Augmented Humanoid,Morg,Human,,
"Smuchog Bob-Neck, Dwarf Cursed Dead",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Cursed Dead,Dwarf,,
"Sothaer, Elf Dune Runner",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Dune Runner,Elf,,
"T'lor-Nefer-Shu, Human Meorty",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Meorty,Human,,
"Volldrager, Human Zhen",Terrors of the Deadlands,Unique,Medium,Undead,"Augmented Humanoid, Psionic",Zhen,Human,,
Undead Mass,Vaults of Pandius,Unique,Large,Undead,,Undead Mass,,,
"Ur-mesh Gul, Hammer of Nin-Hurabi",Vaults of Pandius,Unique,Large,Undead,Augmented Nimmurian Manscorpion,Spawn of Nimmur,Ur-Mesh Gul,,
"Hoarder Dragon, Amilektrevitrioelis",Wizards of the Coast (Dragons of Faerun -- New Draconic Monsters),Unique,Huge,Undead,Incorporeal,Hoarder, Blue Dragon,Amilektrevitrioelis,
"Modron, Primus",Creature Codex,Unique,,,,Modron,Primus,,
"Ardat, the Unavowed",Dragon #359,Unique,,,,Demon,Lord,Ardat,
"Dwiergus, the Chrysalis Prince",Dragon #359,Unique,,,,Demon,Lord,Dwiergus,
"Lascer, Lord of the Shadow Shoal",Dragon #359,Unique,,,,Demon,Lord,Lascer,
"Shaktari, Queen of Mariliths",Dragon #359,Unique,,,,Demon,Lord,Shaktari,
"Ugudenk, the Squirming King",Dragon #359,Unique,,,,Demon,Lord,Ugudenk,
Ragnorra Mother,Elder Evils,Unique,,,,Ragnorra,True Mother,,
Sharn,Anauroch: The Empire of the Shade,,Large,Aberration,,Sharn,,,
Disir,Bestiary of Krynn,,Medium,Aberration,,Disir,True,,
Disir Queen,Bestiary of Krynn,,Large,Aberration,,Disir,Queen,,
Magori,Bestiary of Krynn,,Large,Aberration,"Aquatic, Chaotic, Extraplanar",Magori,,,
Tyin,Bestiary of Krynn,,Large,Aberration,,Disir,Tyin,,
Wyndlass,Bestiary of Krynn,,Huge,Aberration,,Wyndlass,,,
"Disir, Tyin","Bestiary of Krynn, Revised",,Large,Aberration,,Disir,Tyin,,
Skyfisher,"Bestiary of Krynn, Revised",,Small,Aberration,,Skyfisher,,,
True Disir,"Bestiary of Krynn, Revised",,Medium,Aberration,,Disir,True,,
"Yaggol, Elite","Bestiary of Krynn, Revised",,Medium,Aberration,,Yaggol,Elite,,
"Yaggol, Savage","Bestiary of Krynn, Revised",,Large,Aberration,,Yaggol,Savage,,
Wizshade,"Bestiary of the Realms, Volume 1 + Bestiary of the Realms, Volume 2",,Medium,Aberration,Incorporeal,Wizshade,,,
Arraccat,"Bestiary of the Realms, Volume 2",,Medium,Aberration,,Arraccat,,,
"Fiend, Hordling Night Parade Creature","Bestiary of the Realms, Volume 2",,Large,Aberration,,Night Parade Creature,Large,,
Magebane,"Bestiary of the Realms, Volume 2",,Tiny,Aberration,Extraplanar,Magebane,,,
Spellfire Horror,"Bestiary of the Realms, Volume 2",,Medium,Aberration,,Golem,Magic,,
Ustilagor,"Bestiary of the Realms, Volume 2",,Tiny,Aberration,"Evil, Psionic",Intellect Devourer,Ustilagor,,
Umber Bulk,Blood and Shadows: The Dark Elves of Tellene,,Medium,Aberration,,Umber Bulk,,,
Ripper,Cityscape: An Essential Guide to Urban Adventuring,,Medium,Aberration,,Ripper,,,
Larval Flayer,Complete Psionic,,Tiny,Aberration,Psionic,Larval Flayer,,,
Synad,Complete Psionic,,Medium,Aberration,,Synad,,,
"Beholder Eater, Thagar (""Grimgobbler"")",Converted Spelljammer Creatures,,Large,Aberration,,Beholder Eater,Thagar,,
"Tinkerer (""Giant Bubble"")",Converted Spelljammer Creatures,,Small,Aberration,,Tinkerer,,,
Apodalypse,Creature Catalogue,,Huge,Aberration,Aquatic,Apodalypse,,,
"Apodalypse, Progeny",Creature Catalogue,,Tiny,Aberration,Aquatic,Apodalypse,Progeny,,
"Beholder-Kin, Hive Mother",Creature Catalogue,,Huge,Aberration,,Beholder,Hive Mother,,
"Beholder, Elder Orb",Creature Catalogue,,Large,Aberration,,Beholder,Elder Orb,,
Braintree,Creature Catalogue,,Huge,Aberration,Psionic,Braintree,,,
Crystalmist,Creature Catalogue,,Diminutive,Aberration,Swarm,Crystalmist,,,
Denzelian,Creature Catalogue,,Large,Aberration,Earth,Denzelian,,,
Draknor,Creature Catalogue,,Gargantuan,Aberration,"Extraplanar, Fire",Draknor,,,
Gorynych,Creature Catalogue,,Huge,Aberration,,Gorynych,,,
Grave Watcher,Creature Catalogue,,Medium,Aberration,Extraplanar,Grave Watcher,,,
Horgar (Stone-Eater),Creature Catalogue,,Gargantuan,Aberration,,Horgar,,,
House Hunter Mimic,Creature Catalogue,,Huge,Aberration,Shapechanger,Mimic,House Hunter,Adult,
Imorph,Creature Catalogue,,Medium,Aberration,Shapechanger,Imorph,,,
Kasharin,Creature Catalogue,,Large,Aberration,,Beholder,Kasharin,,
"Krakentua, Female",Creature Catalogue,,Colossal,Aberration,,Krakentua,Female,,
"Krakentua, Male",Creature Catalogue,,Colossal,Aberration,,Krakentua,Male,,
Lock Lurker,Creature Catalogue,,Diminutive,Aberration,,Lock Lurker,,,
Lythlyx,Creature Catalogue,,Large,Aberration,Psionic,Lythlyx,,,
Memory Web,Creature Catalogue,,Huge,Aberration,,Memory Web,,,
"Mist, Vampiric",Creature Catalogue,,Medium,Aberration,,Mist,Vampiric,,
Ogre Slug,Creature Catalogue,,Large,Aberration,,Ogre Slug,,,
Orpsu,Creature Catalogue,,Small,Aberration,,Orpsu,,,
"Otyugh, Neo-Otyugh",Creature Catalogue,,Large,Aberration,,Otyugh,Neo-Otyugh,,
Presence,Creature Catalogue,,Small,Aberration,Incorporeal,Presence,,,
Protein Polymorph,Creature Catalogue,,Large,Aberration,Shapechanger,Protein Polymorph,,,
Stingwing,Creature Catalogue,,Small,Aberration,,Whipsting,Stingwing,,
Surchur,Creature Catalogue,,Large,Aberration,,Surchur,,,
Thousandtooth,Creature Catalogue,,Medium,Aberration,,Thousandtooth,,,
Tirapheg,Creature Catalogue,,Medium,Aberration,,Tirapheg,,,
Troll Mutate,Creature Catalogue,,Large,Aberration,,Troll Mutate,,,
Troll Mutate Matriarch,Creature Catalogue,,Large,Aberration,,Troll Mutate,Matriarch,,
Tyrannabyss,Creature Catalogue,,Huge,Aberration,Aquatic,Tyrannabyss,,,
Ulitharid (Noble Illithid),Creature Catalogue,,Medium,Aberration,,Mind Flayer,Ulitharid,,
Voor Larva,Creature Catalogue,,Large,Aberration,,Voor Larva,,,
Whipsting,Creature Catalogue,,Small,Aberration,,Whipsting,,,
Whisp,Creature Catalogue,,Tiny,Aberration,Incorporeal,Presence,Whisp,,
Ember Hulk,Creature Codex,,Medium,Aberration,Extraplanar,Ember Hulk,,,
Entrope,Creature Codex,,Huge,Aberration,Extraplanar,Entrope,,,
Gith'ilid,Creature Codex,,Medium,Aberration,,Gith'ilid,,,
Observer,Creature Codex,,Large,Aberration,Extraplanar,Beholder,Observer,,
"Beholder, Occultipus",Dangerous Denizens: The Monsters of Tellene,,Large,Aberration,,Beholder,Occultipus,,
"Doppelganger, Metamorph",Dangerous Denizens: The Monsters of Tellene,,Medium,Aberration,Shapechanger,Doppelganger,Metamorph,,
Elephantine Human,Dangerous Denizens: The Monsters of Tellene,,Large,Aberration,,Elephantine,Human,,
Gibbering Terror,Dangerous Denizens: The Monsters of Tellene,,Medium,Aberration,,Gibbering Beast,Gibbering Terror,,
Impervigen,Dangerous Denizens: The Monsters of Tellene,,Large,Aberration,,Impervigen,,,
Mind Flayer Servitor,Dangerous Denizens: The Monsters of Tellene,,Medium,Aberration,,Mind Flayer,Servitor,,
"Piercer, Tellenian",Dangerous Denizens: The Monsters of Tellene,,Small,Aberration,,Piercer,Tellenian,,
Rooftop Prowler,Dangerous Denizens: The Monsters of Tellene,,Medium,Aberration,,Rooftop Prowler,,,
Gaj,Dark Sun 3,,Large,Aberration,Psionc,Gaj,,,
Darque,Dark Tales and Disturbing Legends,,Large,Aberration,,Darque,,,
Lost (Echoes or Shells),Dark Tales and Disturbing Legends,,Medium,Aberration,Shapechanger,Lost,Gothic Earth,,
Backwards Man,Denizens of Dread,,Medium,Aberration,,Backwards Man,,,
Broken One,Denizens of Dread,,Medium,Aberration,,Broken One,,,
"Cloaker, Resplendent",Denizens of Dread,,Large,Aberration,,Cloaker,Resplendent,,
"Cloaker, Shadow",Denizens of Dread,,Large,Aberration,,Cloaker,Shadow,,
Head Hunter,Denizens of Dread,,Tiny,Aberration,,Head Hunter,,,
Impersonator,Denizens of Dread,,Small,Aberration,Shapechanger,Impersonator,,,
Marikith Hunter,Denizens of Dread,,Medium,Aberration,,Marikith,Hunter,,
Marikith Queen,Denizens of Dread,,Huge,Aberration,,Marikith,Queen,,
Red Widow,Denizens of Dread,,Medium,Aberration,Shapechanger,Red Widow,,,
"Sea Spawn, Master",Denizens of Dread,,Large,Aberration,Aquatic,Sea Spawn,Master,,
"Sea Spawn, Minion",Denizens of Dread,,Diminutive,Aberration,Aquatic,Sea Spawn,Minion,,
Tentacle Rat,Denizens of Dread,,Small,Aberration,,Tentacle Rat,,,
Blazon,Denizens of the Inner Planes,,Diminutive,Aberration,"Extraplanar, Fire",Blazon,,,
Chososion,Denizens of the Inner Planes,,Medium,Aberration,Extraplanar,Chososion,,,
Garmorm,Denizens of the Transitive Planes,,Huge,Aberration,Extraplanar,Garmorm,,,
Magran,Denizens of the Transitive Planes,,Huge,Aberration,Extraplanar,Magran,,,
Meme,Denizens of the Transitive Planes,,Medium,Aberration,"Extraplanar, Incorporeal",Meme,,,
Squamous Spewer,Draconomicon: The Book of Dragons,,Large,Aberration,,Squamous Thing,Squamous Spewer,,
Elan,Dragon #319,,Medium,Aberration,,Elan,Athasian,,
Illithocyte,Dragon #337,,Small,Aberration,,Illithocyte,,,
Mind Worm,Dragon #337,,Huge,Aberration,Aquatic,Mind Worm,,,
"Mind Worm, Psionic",Dragon #337,,Huge,Aberration,"Aquatic, Psionic",Mind Worm,Psionic,,
Nerve Swimmers,Dragon #337,,Fine,Aberration,Swarm,Nerve Swimmers,,,
"Ustilagor, Psionic",Dragon #337,,Diminutive,Aberration,Psionic,Intellect Devourer,Ustilagor,Psionic,
Ettercap Brood Swarm,Dragon #343,,Tiny,Aberration,,Ettercap,Brood Swarm,,
Dolgrue,Dragon #348,,Large,Aberration,,Dolgrue,,,
Opabinia,Dragon #348,,Medium,Aberration,Aquatic,Opabinia,Giant,,
Xenostelid,Dragon #348,,Huge,Aberration,,Xenostelid,,,
Xorbeast,Dragon #348,,Large,Aberration,,Xorbeast,,,
Grindylow,Dragon #352,,Large,Aberration,Aquatic,Grindylow,,,
Handlinger,Dragon #352,,Tiny,Aberration,Symbiont,Handlinger,,,
Slake Moth,Dragon #352,,Large,Aberration,,Slake Moth,,,
Urquirsh,Dragon #358,,Small,Aberration,Extraplanar,Kaorti,Urquirsh,,
Havoc Orb,Dragon #363,,Large,Aberration,,Havoc Orb,,,
Bleeder Beholder,"Dragon Compendium, Volume 1",,Large,Aberration,,Beholder,Death Kiss,,
Chaoswyrd,"Dragon Compendium, Volume 1",,Huge,Aberration,,Chaoswyrd,,,
Glasspane Horror,"Dragon Compendium, Volume 1",,Large,Aberration,Shapechanger,Glasspane Horror,,,
Ragewing,"Dragon Compendium, Volume 1",,Small,Aberration,,Ragewing,,,
"Plasmoid, DeGleash",Dragon-Rider.us,,Huge,Aberration,,Plasmoid,DeGleash,,
Choker Ravager,Dragon: Monster Ecologies,,Small,Aberration,,Choker,Ravager,,
Chwidencha,Drow of the Underdark,,Large,Aberration,,Shunned,Chwidencha,,
Shunned,Drow of the Underdark,,Medium,Aberration,,Shunned,,,
Docentos,Dungeon #104 [Polyhedron #163],,Huge,Aberration,,Docenti,,,
Mazchedeen (Tunnel-hunter),Dungeon #106 [Polyhedron #165],,Medium,Aberration,,Mazchedeen,,,
Overseer,Dungeon #106 [Polyhedron #165],,Tiny,Aberration,,Overseer,,,
Will-o'-Wisp,Dungeon #115,,Small,Aberration,Air,Will-o'-Wisp,Ancient,,
Flumph,Dungeon #118,,Tiny,Aberration,,Flumph,,,
Grick Behemoth,Dungeon #122,,Large,Aberration,,Grick,Behemoth,,
Hiveblood Ettin,Dungeon #127,,Large,Aberration,Augmented Giant,Hiveblood,Ettin,,
Octopin,Dungeon #127,,Medium,Aberration,,Octopin,,,
Froghemoth,Dungeon #128,,Huge,Aberration,Aquatic,Froghemoth,,,
Worm Naga,Dungeon #130,,Large,Aberration,,Naga,Worm,,
Thessalhydra,Dungeon #134,,Huge,Aberration,,Thessalhydra,,,
Obah-Blessed Choker,Dungeon #136,,Small,Aberration,,Choker,Advanced,Obah-Blessed,
Bilewretch of Holashner,Dungeon #144,,Huge,Aberration,,Bilewretch,,,
Brain Collector (Neh-Thalggu),Dungeon #144,,Large,Aberration,,Neh-Thalggu,,,
Mutated Girallon,Dungeon #146,,Large,Aberration,Augmented Magical Beast,Girallon,Mutated,,
Webbird,Dungeon #148,,Tiny,Aberration,,Webbird,,,
Gibbering Mouther (modified),Dungeon #152,,Medium,Aberration,,Gibbering Mouther,Modified,,
Dolgaunt,Eberron Campaign Setting,,Medium,Aberration,,Dolgaunt,,,
Dolgaunt Monk,Eberron Campaign Setting,,Medium,Aberration,,Dolgaunt,Monk,,
Dolgrim,Eberron Campaign Setting,,Small,Aberration,,Dolgrim,,,
"Symbiont, Living Breastplate",Eberron Campaign Setting,,Tiny,Aberration,Symbiont,Symbiont,Living Breastplate,,
"Symbiont, Tentacle Whip",Eberron Campaign Setting,,Tiny,Aberration,Symbiont,Symbiont,Tentacle Whip,,
"Symbiont, Tongueworm",Eberron Campaign Setting,,Tiny,Aberration,Symbiont,Symbiont,Tongueworm,,
Aspect of the Leviathan,Elder Evils,,Colossal,Aberration,"Aquatic, Chaotic",Aspect,Leviathan,Advanced,
Blistered Souls,Elder Evils,,Medium,Aberration,,Blistered Soul,,,
Worm that walks,Elder Evils,,Huge,Aberration,,Worm That Walks,,,
Gibbering Orb,Epic Level Handbook + D&D v.3.5 Accessory Update,,Huge,Aberration,,Gibbering Beast,Gibbering Orb,,
Ha-Naga,Epic Level Handbook + D&D v.3.5 Accessory Update,,Colossal,Aberration,,Naga,Ha-Naga,,
Hagunemnon (Protean),Epic Level Handbook + D&D v.3.5 Accessory Update,,Large,Aberration,Shapechanger,Hagunemnon,,,
