Name,Source,Size,Type,Subtypes,Environment,CR,Classify 1,Classify 2,Classify 3,Classify 4
Bloodstained Greater Earth Elemental,Perilous Gateways - The Trail of Tears: Bloodstained (Template,Huge,Elemental,Earth,,10,Elemental,Earth,Greater,Bloodstained
Bloodthorn,Creature Catalogue,Medium,Plant,,Temperate forest,5,Bloodthorn,,,
Bloodtroll,Black Rain,Large,Giant,,,,Troll,Bloodtroll,,
Bloodwight,Creature Catalogue,Large,Aberration,,Any land and underground,5,Bloodwight,,,
"Bloodworm, Giant",Creature Catalogue,Huge,Vermin,Aquatic,Underground,4,Bloodworm,Giant,,
Blue,Psionics Handbook,Small,Humanoid,Goblinoid,Temperate and warm land and underground,1/2,Blue,,,
Blue Dracolisk,Tome of Horrors,Medium,Dragon,,Any land and underground,7,Dracolisk,Blue,,
Blue Dragon,Monster Manual,Huge,Dragon,Earth,Temperate deserts,13,Dragon,Chromatic,Blue,Adult
"Blue Dragon, Ancient",Monster Manual,Gargantuan,Dragon,Earth,Temperate deserts,20,Dragon,Chromatic,Blue,Ancient
"Blue Dragon, Great Wyrm",Monster Manual,Gargantuan,Dragon,Earth,Temperate deserts,24,Dragon,Chromatic,Blue,Great Wyrm
"Blue Dragon, Juvenile",Monster Manual,Large,Dragon,Earth,Temperate deserts,7,Dragon,Chromatic,Blue,Juvenile
"Blue Dragon,  Adult",Monster Manual,Huge,Dragon,Earth,Temperate deserts,15,Dragon,Chromatic,Blue, Adult
"Blue Dragon, Old",Monster Manual,Huge,Dragon,Earth,Temperate deserts,17,Dragon,Chromatic,Blue,Old
"Blue Dragon, Very Old",Monster Manual,Huge,Dragon,Earth,Temperate deserts,18,Dragon,Chromatic,Blue,Very Old
"Blue Dragon, Very ",Monster Manual,Medium,Dragon,Earth,Temperate deserts,3,Dragon,Chromatic,Blue,Very 
"Blue Dragon, Wyrm",Monster Manual,Gargantuan,Dragon,Earth,Temperate deserts,22,Dragon,Chromatic,Blue,Wyrm
"Blue Dragon, Wyrmling",Monster Manual,Small,Dragon,Earth,Temperate and warm desert and underground,2,Dragon,Chromatic,Blue,Wyrmling
"Blue Dragon, ",Monster Manual,Medium,Dragon,Earth,Temperate deserts,5,Dragon,Chromatic,Blue,
"Blue Dragon,  Adult",Monster Manual,Large,Dragon,Earth,Temperate deserts,10,Dragon,Chromatic,Blue, Adult
Blue Garn,Garden of the Plantmaster,Medium,Magical Beast,,Any land and underground,7,Garn,Blue,,
Blue Slaad,Monster Manual,Large,Outsider,Chaotic,Any land and underground,8,Slaad,Blue,,
Blunderbore,Diablo II: To Hell and Back,Large,Giant,,Any land,5,Blunderbore,,,
"Blunderbore, Gorbelly",Diablo II: To Hell and Back,Large,Giant,,Any land,6,Blunderbore,Gorbelly,,
"Blunderbore, Mauler",Diablo II: To Hell and Back,Huge,Giant,,Any land,8,Blunderbore,Mauler,,
"Blunderbore, Urdar",Diablo II: To Hell and Back,Huge,Giant,,Any land,11,Blunderbore,Urdar,,
Boalisk,Creature Catalogue,Huge,Magical Beast,,Warm forest and aquatic,4,Snake,Boalisk,,
Boar,Monster Manual,Medium,Animal,,Temperate and warm forest,2,Boar,,,
Bodak,Monster Manual,Medium,Undead,,Any land and underground,8,Bodak,,,
Bodak Creature,Dragon #307,,Template,,Any,4,Bodak,(Template),,
Bodak Five-Headed Hydra,Dragon #307,Huge,Undead,,Any,8,Bodak,Five-Headed Hydra,,
Bog Giant,Fiend Folio,Large,Giant,Aquatic,"Any land, aquatic, and underground",6,Giant,Bog,,
Bog Hag,Oriental Adventures,Medium,Shapechanger,Shadowlands,Any aquatic,2,Hag,Bog,,
Bog Mummy,Creature Catalogue,Medium,Undead,,Any marsh,6,Mummy,Bog,,
"Bogeyman, Alligator Lenny",Book of Sacrifices,Medium,Fey,Bogeyman,,5,Bogeyman,Alligator Lenny,,
"Bogeyman, Bad Thing",Book of Sacrifices,Small,Fey,Bogeyman,,2,Bogeyman,Bad Thing,,
"Bogeyman, Fanton Griswold",Book of Sacrifices,Medium,Fey,Bogeyman,,7,Bogeyman,Fanton Griswold,,
"Bogeyman, Gentlemen",Book of Sacrifices,Medium,Fey,Bogeyman,,2,Bogeyman,Gentleman,,
"Bogeyman, Madame Croquemitaine",Book of Sacrifices,Medium,Fey,Bogeyman,,4,Bogeyman,Madame Croquemitaine,,
"Bogeyman, Monsieur Croquemitaine",Book of Sacrifices,Medium,Fey,Bogeyman,,4,Bogeyman,Monsieur Croquemitaine,,
"Bogeyman, Scissorman",Book of Sacrifices,Medium,Fey,Bogeyman,,7,Bogeyman,Scissorman,,
Boggart,Creature Catalogue,Small,Aberration,Air,Any marsh,7,Boggart,,,
Boggle,Creature Catalogue,Small,Aberration,,Temperate forest and underground,3,Boggle,,,
Bogun,Masters of the Wild,Tiny,Construct,,Any (typically forest),1,Bogun,,,
Bone Bugbear,Book of Vile Darkness,Medium,Undead,,Any underground,7,Bone,Bugbear,,
Bone Creature,Book of Vile Darkness,,Template,,,,Bone,,,
Bone Golem,Denizens of Darkness,Medium,Construct,,Any land and underground,10,Golem,Bone,Dread,
Bone Golem Warrior,Lost Tomb of Kruk-Ma-Kali,Medium,Construct,,Any,10,Golem,Bone,Tellenian,Warrior
Bone Lurker,"Wyrms of the North: Daurgothoth, ""The Creeping Doom""",Large,Undead,,Any land and underground,2,Lurker,Bone,,
Bone Naga,Creature Catalogue,Large,Undead,,Any land and underground,8,Naga,Bone,,
Bone Ooze,Monster Manual II,Gargantuan,Ooze,,Any underground,21,Bone Ooze,,,
Bone Weird,Creature Catalogue,Huge,Outsider,,Any land and underground,7,Weird,Bone,,
Bonesinger,Ghostwalk,,Template,,,0,Bonesinger,,,
Bonesnapper,Creature Catalogue,Medium,Beast,,"Temperate and warm forest, marsh, and underground",3,Bonesnapper,,,
Bonespear,Creature Catalogue,Large,Outsider,,Any underground,3,Bonespear,,,
Bonespitter,Dragon #287,Medium,Undead,,Any land and underground,5,Bonespitter,,,
Bonesting,"Wyrms of the North: Daurgothoth, ""The Creeping Doom""",Medium,Undead,,Any land and underground,1,Bonesting,,,
Bonetree,Dragon #280,Huge,Plant,,Warm marsh,5,Bonetree,,,
Boneworm,The Far Corners of the World - Sand and Sun (Monsters of the Desert,Gargantuan,Undead,Fire,Warm desert and underground,12,Boneworm,,,
Bony Hand,Van Richten's Guide to the Walking Dead,Small,Undead,,Any land or underground,3,Bony Hand,,,
Booka,Creature Catalogue,Tiny,Fey,,Cold and temperate land,1/2,Booka,,,
Bookworm,Creature Catalogue,,Vermin,,,1/10,Bookworm,,,
Boowray,Denizens of Darkness,Tiny,Fey,Incorporeal,Temperate forest,3,Boowray,,,
Boring Grass,Creature Catalogue,,Plant,,,3,Boring Grass,,,
Bowler,Creature Catalogue,Medium,Aberration,,Any land and underground,1,Bowler,,,
Bowlyn,Denizens of Darkness,Medium,Undead,Incorporeal,Any aquatic,3,Bowlyn,,,
Brachyurus,Epic Level Handbook,Large,Magical Beast,,Any,23,Wolf,Brachyurus,,
Brain Collector,Vaults of Pandius,Large,Outsider,,Any (Far Realms Gate),7,Neh-Thalggu,,,
Brain Golem,Fiend Folio,Large,Construct,,Any underground,10,Golem,Brain,,
Brain Mole,Psionics Handbook,Diminutive,Animal,,"Temperate and warm desert, forest, hill, plains, and underground",1/3,Brain Mole,,,
Bramble,Creature Catalogue,Fine,Fey,,Cold and temperate plains and hills,2,Bramble,,,
Brandobian,Kingdoms of Kalamar Player's Guide,Medium,Humanoid,,,,Human,Tellenian,Brandobian,
Branta,Silver Marches,Large,Beast,Cold,"Cold and temperate forest, hills, mountains, and plains",2,Branta,,,
Brass Dragon,Monster Manual,Large,Dragon,Fire,"Temperate and warm deserts, plains, and underground",11,Dragon,Metallic,Brass,Adult
"Brass Dragon, Ancient",Monster Manual,Huge,Dragon,Fire,"Temperate and warm deserts, plains, and underground",19,Dragon,Metallic,Brass,Ancient
"Brass Dragon, Great Wyrm",Monster Manual,Gargantuan,Dragon,Fire,"Temperate and warm deserts, plains, and underground",22,Dragon,Metallic,Brass,Great Wyrm
"Brass Dragon, Juvenile",Monster Manual,Medium,Dragon,Fire,"Temperate and warm deserts, plains, and underground",7,Dragon,Metallic,Brass,Juvenile
"Brass Dragon,  Adult",Monster Manual,Huge,Dragon,Fire,"Temperate and warm deserts, plains, and underground",14,Dragon,Metallic,Brass, Adult
"Brass Dragon, Old",Monster Manual,Huge,Dragon,Fire,"Temperate and warm deserts, plains, and underground",16,Dragon,Metallic,Brass,Old
"Brass Dragon, Very Old",Monster Manual,Huge,Dragon,Fire,"Temperate and warm deserts, plains, and underground",18,Dragon,Metallic,Brass,Very Old
"Brass Dragon, Very ",Monster Manual,Small,Dragon,Fire,"Temperate and warm deserts, plains, and underground",3,Dragon,Metallic,Brass,Very 
"Brass Dragon, Wyrm",Monster Manual,Gargantuan,Dragon,Fire,"Temperate and warm deserts, plains, and underground",20,Dragon,Metallic,Brass,Wyrm
"Brass Dragon, Wyrmling",Monster Manual,Tiny,Dragon,Fire,"Temperate and warm deserts, plains, and underground",2,Dragon,Metallic,Brass,Wyrmling
"Brass Dragon, ",Monster Manual,Medium,Dragon,Fire,"Temperate and warm deserts, plains, and underground",5,Dragon,Metallic,Brass,
"Brass Dragon,  Adult",Monster Manual,Large,Dragon,Fire,"Temperate and warm deserts, plains, and underground",9,Dragon,Metallic,Brass, Adult
Brass Golem,Monster Manual II,Large,Construct,,Any land and underground,10,Golem,Brass,,
Brass Half-Golem,More Half Golems! (A Monster Manual II Web Enhancement,Medium,Construct,,Any land and underground,5,Half-Golem,Brass,,
Brass Space Mines,Monsters of the Void,Diminutive,Construct,,Any space,3,Brass Space Mines,,,
Braxat,Monster Manual II,Large,Monstrous Humanoid,,Any desert or mountains,9,Braxat,,,
Breathdrinker,Dragon #285,Medium,Elemental,"Air, Evil",Any temperate,7,Breathdrinker,,,
Broken One,Denizens of Darkness,Medium,Aberration,,Any land or underground,3,Broken One,,,
Brontosaurus,Vaults of Pandius,Gargantuan,Beast,,Prehistoric aquatic,11,Dinosaur,Apatosaurus,,
Bronze Dragon,Monster Manual,Huge,Dragon,Water,Temperate and warm aquatic and underground,14,Dragon,Metallic,Bronze,Adult
"Bronze Dragon, Ancient",Monster Manual,Gargantuan,Dragon,Water,Temperate and warm aquatic and underground,21,Dragon,Metallic,Bronze,Ancient
"Bronze Dragon, Great Wyrm",Monster Manual,Gargantuan,Dragon,Water,Temperate and warm aquatic and underground,24,Dragon,Metallic,Bronze,Great Wyrm
"Bronze Dragon, Juvenile",Monster Manual,Large,Dragon,Water,Temperate and warm aquatic and underground,8,Dragon,Metallic,Bronze,Juvenile
"Bronze Dragon,  Adult",Monster Manual,Huge,Dragon,Water,Temperate and warm aquatic and underground,16,Dragon,Metallic,Bronze, Adult
"Bronze Dragon, Old",Monster Manual,Huge,Dragon,Water,Temperate and warm aquatic and underground,18,Dragon,Metallic,Bronze,Old
"Bronze Dragon, Very Old",Monster Manual,Huge,Dragon,Water,Temperate and warm aquatic and underground,19,Dragon,Metallic,Bronze,Very Old
"Bronze Dragon, Very ",Monster Manual,Medium,Dragon,Water,Temperate and warm aquatic and underground,4,Dragon,Metallic,Bronze,Very 
"Bronze Dragon, Wyrm",Monster Manual,Gargantuan,Dragon,Water,Temperate and warm aquatic and underground,22,Dragon,Metallic,Bronze,Wyrm
"Bronze Dragon, Wyrmling",Monster Manual,Small,Dragon,Water,Temperate and warm aquatic and underground,2,Dragon,Metallic,Bronze,Wyrmling
"Bronze Dragon, ",Monster Manual,Medium,Dragon,Water,Temperate and warm aquatic and underground,6,Dragon,Metallic,Bronze,
"Bronze Dragon,  Adult",Monster Manual,Large,Dragon,Water,Temperate and warm aquatic and underground,11,Dragon,Metallic,Bronze, Adult
Bronze Serpent,Monster Manual II,Huge,Construct,,Any land and underground,10,Bronze Serpent,,,
Brood Mother,Dragon #298,Large,Aberration,,Underground,14,Brood Mother,,,
Brown Dragon,Monsters of Faerûn,Huge,Dragon,Earth,Any desert,14,Dragon,Chromatic,Brown,Adult
"Brown Dragon, Ancient",Monsters of Faerûn,Gargantuan,Dragon,Earth,Any desert,21,Dragon,Chromatic,Brown,Ancient
"Brown Dragon, Great Wyrm",Monsters of Faerûn,Colossal,Dragon,Earth,Any desert,25,Dragon,Chromatic,Brown,Great Wyrm
"Brown Dragon, Juvenile",Monsters of Faerûn,Large,Dragon,Earth,Any desert,8,Dragon,Chromatic,Brown,Juvenile
"Brown Dragon,  Adult",Monsters of Faerûn,Huge,Dragon,Earth,Any desert,16,Dragon,Chromatic,Brown, Adult
"Brown Dragon, Old",Monsters of Faerûn,Gargantuan,Dragon,Earth,Any desert,18,Dragon,Chromatic,Brown,Old
"Brown Dragon, Very Old",Monsters of Faerûn,Gargantuan,Dragon,Earth,Any desert,19,Dragon,Chromatic,Brown,Very Old
"Brown Dragon, Very ",Monsters of Faerûn,Large,Dragon,Earth,Any desert,4,Dragon,Chromatic,Brown,Very 
"Brown Dragon, Wyrm",Monsters of Faerûn,Colossal,Dragon,Earth,Any desert,23,Dragon,Chromatic,Brown,Wyrm
"Brown Dragon, Wyrmling",Monsters of Faerûn,Medium,Dragon,Earth,Any desert,3,Dragon,Chromatic,Brown,Wyrmling
"Brown Dragon, ",Monsters of Faerûn,Large,Dragon,Earth,Any desert,6,Dragon,Chromatic,Brown,
"Brown Dragon,  Adult",Monsters of Faerûn,Huge,Dragon,Earth,Any desert,11,Dragon,Chromatic,Brown, Adult
Brown Garn,Garden of the Plantmaster,Large,Magical Beast,,Any land and underground,9,Garn,Brown,,
Brown Mold,Dungeon Master's Guide,,Plant,,,2,Brown Mold,,,
Brown Orc,Fury in the Wastelands: The Orcs of Tellene,Medium,Humanoid,Orc,"Any, but commonly underground",1/2,Orc,Tellenian,Brown,
Brown Pudding,Creature Catalogue,Huge,Ooze,,,7,Pudding,Brown,,
Brownie,Creature Catalogue,Tiny,Fey,,Temperate and warm forest,1,Brownie,,,
Bubble,Creature Catalogue,Medium,Aberration,,Any aquatic,1/4,Bubble,,,
Buckawn,Creature Catalogue,Small,Fey,,Temperate forests,2,Buckawn,,,
Bugbear,Dungeons & Dragons Adventure Game [Rule Book],,,,,,Bugbear,,,
Bugbear Trooper,Battle Sheets!,Medium,Humanoid,Goblinoid,,2,Bugbear,Trooper,,
Bugsucker,Savage Species,Medium,Aberration,,Any underground,3,Symbiotic,Bugbear,Stirge,
Bulette,Monster Manual,Huge,Beast,,Temperate land and underground,7,Bulette,,,
Bull,Pekal Gazetteer,Large,Animal,,,2,Bull,,,
Bullywug,Monsters of Faerûn,Medium,Humanoid,Aquatic,Temperate and warm aquatic and marsh,1,Bullywug,,,
Bullywug Savant,Living Greyhawk Journal #2,Medium,Monstrous Humanoid,,Temperate and warm aquatic and marsh,2,Bullywug,Savant,,
Bunyip,Creature Catalogue,Medium,Beast,,Temperate and warm aquatic and marsh,3,Bunyip,,,
Burning Skeleton,Return to the Temple of Elemental Evil,Medium,Undead,,Any land or underground,3,Skeleton,Burning,,
"Buso, Tigbanua",Oriental Adventures,Medium,Monstrous Humanoid,,Temperate and warm forest and mountains,3,Buso,Tigbanua,,
Bussengeist,Denizens of Darkness,,Undead,,,,Bussengeist,,,
Buzzjewel,Monsters of the Void,Fine,Vermin,,Any,1/2,Buzzjewel,,,
Byoki no Oni,Oriental Adventures,Large,Outsider,"Evil, Shadowlands",Shadowlands,15,Oni,Shadowlands,Byoki no Oni,
Caarcrinolaas (Duke of Hell),Creature Catalogue,Medium,Outsider,"Evil, Lawful",Any land and underground,19,Devil,Archdevil,Caarcrinolaas,
Cache Dweller,Forgotten Realms - Realms by Night: Part Ten,Medium,Undead,,Aquatic,7,Cache Dweller,,,
Caiveh,Creature Catalogue,Medium,Humanoid,Caiveh,Warm forest or mountains,1,Caiveh,,,
Caliban,Ravenloft Campaign Setting,Medium,Humanoid,,,,Human,Caliban,,
Caller in Darkness,Psionics Handbook,Large,Undead,Incorporeal,Any land and underground,9,Caller in Darkness,,,
Calzone Golem,Something's Cooking,Medium,Construct,,Any land and underground,3,Golem,Calzone,,
Cambion (Demon),Creature Catalogue,Medium,Outsider,"Chaotic, Evil",Any land and underground,6,Demon,Tanar'ri,Cambion,
Camel,Monster Manual,Large,Animal,,"Any desert, hill, and mountains",1,Camel,,,
"Camel, Mountain",New Arabian Adventure r.7.1,Large,Animal,,,,Camel,Mountain,,
"Camel, Racing",New Arabian Adventure r.7.1,Large,Animal,,,,Camel,Racing,,
"Camel, War",New Arabian Adventure r.7.1,Large,Animal,,,,Camel,War,,
Campestri,Creature Catalogue,Tiny,Plant,,Any marsh,1/6,Campestri,,,
Camprat,Creature Catalogue,Diminutive,Animal,,"Temperate desert, plains and hills",1/8,Rat,Camprat,,
Cannibal Zombie,Van Richten's Guide to the Walking Dead,,Undead,,,3,Zombie,Cannibal,,
Cantor,Diablo II: To Hell and Back,Medium,Humanoid,,Any temperate,6,Cantor,,,
"Cantor, Hierophant",Diablo II: To Hell and Back,Medium,Humanoid,,Any temperate,8,Cantor,Hierophant,,
"Cantor, Sexton",Diablo II: To Hell and Back,Medium,Humanoid,,Any temperate,5,Cantor,Sexton,,
Captured Bugbear/Common Raggamoffyn,Monster Manual II,Medium,Construct,Goblinoid,Any,4,Captured One,Bugbear,Common Raggamoffyn,
Captured One,Monster Manual II,,Template,,,2,Captured One,,,
"Capybara, Giant",Creature Catalogue,Medium,Animal,,Temperate and warm forest and marsh,1,Capybara,Giant,,
Caracdir,Birthright d20 Campaign Setting Rulebook,Medium,Humanoid,"Aquatic, Reptilian",Temperate and warm marsh,2,Caracdir,,,
Carbuncle,Creature Catalogue,Small,Magical Beast,,"Temperate and warm forest, marsh, and underground",1,Carbuncle,,,
Carcass Hound,Denizens of Darkness,Medium,Undead,,Any land,1,Carcass Hound,,,
Carrion Bat,Denizens of Darkness,Medium,Magical Beast,,Any land and underground,1,Bat,Carrion,,
Carrion Crawler,Monster Manual,Large,Aberration,,Any underground,4,Carrion Crawler,,,
Carrion Stalker,Denizens of Darkness,Tiny,Vermin,,Underground,2,Carrion Stalker,,,
Carrionette,Denizens of Darkness,Diminutive,Construct,,Odiare,1,Carrionette,,,
Caryatid Column,Creature Catalogue,Medium,Construct,,Any land and underground,3,Caryatid Column,,,
Cat,Monster Manual,Tiny,Animal,,Any land,1/4,Cat,,,
Cat Lord,Creature Catalogue,Medium,Outsider,,Any land and underground,14,Animal Lord,Cat Lord,,
"Cat Wyvernspur, Human Alias Vessel","Bestiary of the Realms, Volume 1",Medium,Humanoid,Human,Any land (Cormyr),7,Human,Alias Vessel,Cat Wyvernspur,
"Cat, Crag","Bestiary of the Realms, Volume 1",Medium,Magical beast,,Temperate and cold hills and mountains,3,Cat,Crag,,
Cat; Great (Sabre-Toothed Tiger),Vaults of Pandius,Large,Beast,,"Any tropical, especially prehistoric",4,Smilodon,,,
Cataboligne Demon,Dragon #295,Large,Outsider,"Chaotic, Evil",Any land and underground,12,Demon,Cataboligne,,
Caterwaul,Creature Catalogue,Medium,Magical Beast,,Temperate forest and mountain,3,Caterwaul,,,
Catoblepas,Creature Catalogue,Large,Magical Beast,,Any swamp,6,Catoblepas,,,
Cauldron Spawn,Book of Shadows,Small,Undead,,Any,2,Cauldron Spawn,Dread,,
Cave Ant,Book of Sacrifices,Fine,Vermin,,Underground,1/8,Ant,Cave,,
Cave Cricket,Tome of Horrors,Small,Vermin,,Any land and underground,1/2,Cave Cricket,Giant,,
Cave Fisher,"Bestiary of the Realms, Volume 1",Medium,Beast,,Any underground,2,Cave Fisher,,,
Cave Locust,Creature Catalogue,Small,Vermin,,Any land and underground,1,Locust,Cave,Giant,
Cave Moray,Creature Catalogue,Medium,Vermin,,Any underground,2,Cave Moray,,,
Cave Wurm,Dragon #296,,Dragon,,Any underground,5 to 23,Wurm,Cave,,
Cavvekan,Races of Faerûn,Small,Magical Beast,,Any underground,1/2,Cavvekan,,,
Caypór,Book of Shadows,Small,Fey,Fire,"Warm deserts, hills and mountains",1,Caypór,,,
Celestial (Agathion),Creature Catalogue,Medium,Outsider,Good,Any land and underground,9,Angel,Agathinon,,
Celestial (Equinal Guardinal),Creature Catalogue,Medium,Outsider,Good,Any land and underground,7,Guardinal,Equinal,,
Celestial (Light Aasimon),Creature Catalogue,Small,Outsider,Good,Any land,10,Angel,Light,,
Celestial (Sword Archon),Creature Catalogue,Medium,Outsider,"Good, Lawful",Any land and underground,10,Archon,Sword,,
Celestial (Throne Archon),Creature Catalogue,Large,Outsider,"Good, Lawful",Any land and underground,14,Archon,Throne,,
Celestial (Tome Archon),Creature Catalogue,Large,Outsider,"Good, Lawful",Any land and underground,19,Archon,Tome,,
Celestial (Ursinal Guardinal),Creature Catalogue,Large,Outsider,Good,Any land and underground,11,Guardinal,Ursinal,,
Celestial (Warden Archon),Creature Catalogue,Large,Outsider,"Good, Lawful",Any land and underground,8,Archon,Warden,,
Celestial Creature,Monster Manual,,Template,,Any land and underground,,Celestial,,,
Celestial Hawk Familiar,Tome and Blood,Tiny,Magical Beast,,,,Hawk,Celestial,Familiar,
Celestial Lammasu,Creature Catalogue,Large,Outsider,Good,Any warm land and underground,19,Lammasu,Celestial,,
Celestial Lion,Monster Manual,Large,Magical Beast,,Any land and underground,3,Lion,Celestial,,
"Celestial, Astral Deva",Monster Manual,Medium,Outsider,Good,Any land and underground,14,Angel,Deva,Astral,
"Celestial, Avoral (Gandharva)",Oriental Adventures,,,,,,Guardinal,Avoral,Gandharva,
"Celestial, Cervidal",Monster Manual II,Medium,Outsider,Good,Elysium or any forest,3,Guardinal,Cervidal,,
"Celestial, Firre (Eladrin)",Manual of the Planes,Medium,Outsider,"Chaotic, Good",Any land and underground,10,Eladrin,Firre,,
"Celestial, Leonal (Guardinal)",Manual of the Planes,Medium,Outsider,Good,Any land and underground,12,Guardinal,Leonal,,
"Celestial, Lupinal",Monster Manual II,Medium,Outsider,Good,"Elysium or any forest, plain or hills",5,Guardinal,Lupinal,,
"Celestial, Planetar",Monster Manual,Large,Outsider,Good,Any land and underground,16,Angel,Planetar,,
"Celestial, Solar",Monster Manual,Large,Outsider,Good,Any land and underground,19,Angel,Solar,,
Celestial: Monadic Deva,Tome of Horrors,Medium,Outsider,Good,Any land and underground,12,Angel,Deva,Monadic,
Celestial: Movanic Deva,Tome of Horrors,Medium,Outsider,Good,Any land and underground,10,Angel,Deva,Movanic,
Centaur,Monster Manual,Large,Monstrous Humanoid,,Temperate forests,3,Centaur,,,
Centaur Trooper,Battle Sheets!,Large,Monstrous Humanoid,,,3,Centaur,Trooper,,
Century Worm,Fiend Folio,Gargantuan,Vermin,,Any land and underground,19,Century Worm,,,
Cerebral Hood,Fiend Folio,Tiny,Aberration,Symbiont,Any underground,1/2,Symbiont,Cerebral,Cerebral Hood,
Cerebrilith,Psionics Handbook,Large,Outsider,"Chaotic, Evil, Tanar'ri",Any land and underground,14,Demon,Tanar'ri,Cerebrilith,
"Cerilian Dragon, Ancient",Birthright d20 Campaign Setting Rulebook,Gargantuan,Dragon,,Mountains,22,Dragon,Cerilian,Ancient,
"Cerilian Dragon, Great Wyrm",Birthright d20 Campaign Setting Rulebook,Gargantuan,Dragon,,Mountains,26,Dragon,Cerilian,Great Wyrm,
"Cerilian Dragon, Old",Birthright d20 Campaign Setting Rulebook,Huge,Dragon,,Mountains,18,Dragon,Cerilian,Old,
"Cerilian Dragon, Very Old",Birthright d20 Campaign Setting Rulebook,Huge,Dragon,,Mountains,20,Dragon,Cerilian,Very Old,
"Cerilian Dragon, Wyrm",Birthright d20 Campaign Setting Rulebook,Gargantuan,Dragon,,Mountains,24,Dragon,Cerilian,Wyrm,
Chaggrin (Earth Grue),Dragon #285,Small,Elemental,Earth,Any land and underground,4,Grue,Chaggrin,,
Chagmat Cleric,Creature Catalogue,Medium,Monstrous Humanoid,,Any underground,1,Chagmat,Cleric,,
Chagmat Warrior,Creature Catalogue,Medium,Monstrous Humanoid,,Any underground,1,Chagmat,Warrior,,
Chain Golem,Monster Manual II,Medium,Construct,,Any land or underground,5,Golem,Chain,,
Chameleon Naga Dark Water Abomination,Secrets of the Mantis,Medium,Monstrous Humanoid,"Aquatic, Naga",,5,Dark Water Abomination,Chameleon Naga,,
Chamrol,Creature Catalogue,Medium,Elemental,Earth,Any land and underground,7,Chamrol,,,
Changecat,Creature Catalogue,,Magical Beast,Shapechanger,"Temperate forest, plains, and hills",3,Cat,Changecat,,
Changeling,Dragon #304,Medium,Humanoid,,Any land,1,Changeling,,,
Changeling (Kin),Denizens of Darkness,Medium,Construct,,Shadow Rift,0 or 1,Changeling,Dread,,
Chaos Beast,Monster Manual,Medium,Outsider,Chaotic,Any land and underground,7,Chaos Beast,,,
Chaos Eater,Dragon #287,Large,Outsider,Lawful,Any land and underground,9,Chaos Eater,,,
Chaos Roc,Monster Manual II,Colossal,Magical Beast,,Temperate and warm mountains,22,Roc,Chaos,,
Chaoswyrd,Dragon #287,Huge,Aberration,,Any land or underground,12,Chaoswyrd,,,
Charon (Boatman of the Lower Planes),Creature Catalogue,Medium,Outsider,Evil,"Any land (Lower Planes, River Styx only)",25,Yugoloth,Charon,,
Charonaloth,Creature Catalogue,Medium,Outsider,Evil,Any land (Lower Planes and River Styx),13,Yugoloth,Marraenoloth,,
Chasme (Demon),Creature Catalogue,Large,Outsider,"Chaotic, Evil",Any land and underground,11,Demon,Tanar'ri,Chasme,
Chattur,Monsters of the Void,Tiny,Humanoid,,Any,1/2,Chattur,,,
Cheetah,Monster Manual,Medium,Animal,,Warm plains,2,Cheetah,,,
Cheetah Markovian Broken One,Book of Sacrifices,Medium,Aberration,,,3,Broken One,Markovian,Cheetah,
Cheshire Cat,Fabulous Cats!,Small,Fey,,Temperate forests,3,Cat,Cheshire,,
Chevall,Vaults of Pandius,Large,Fey,,"Non-arctic plains, forests, or mountains",4,Chevall,,,
Chi No Oni,Creatures of Rokugan,Huge,Outsider,"Evil, Fire, Oni, Shadowlands",Shadowlands,13,Chi No Oni,,,
Chiang Lung (River Dragon),Oriental Adventures,Huge,Dragon,"Spirit, Water",Warm aquatic,14,Dragon,Lung,Chiang Lung,Adult
"Chiang Lung (River Dragon), Ancient",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,22,Dragon,Lung,Chiang Lung,Ancient
"Chiang Lung (River Dragon), Great Wyrm",Oriental Adventures,Colossal,Dragon,"Spirit, Water",Warm aquatic,25,Dragon,Lung,Chiang Lung,Great Wyrm
"Chiang Lung (River Dragon), Juvenile",Oriental Adventures,Large,Dragon,"Spirit, Water",Warm aquatic,9,Dragon,Lung,Chiang Lung,Juvenile
"Chiang Lung (River Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Spirit, Water",Warm aquatic,17,Dragon,Lung,Chiang Lung, Adult
"Chiang Lung (River Dragon), Old",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,19,Dragon,Lung,Chiang Lung,Old
"Chiang Lung (River Dragon), Very Old",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,20,Dragon,Lung,Chiang Lung,Very Old
"Chiang Lung (River Dragon), Wyrm",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,23,Dragon,Lung,Chiang Lung,Wyrm
"Chiang Lung (River Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Spirit, Water",Warm aquatic,12,Dragon,Lung,Chiang Lung, Adult
Child Nonafel,Creature Catalogue,Medium,Magical Beast,,Any warm land and underground,1/2,Nonafel,Child,,
Child of the Last Wish,Secrets of the Phoenix,Small,Fey,"Incorporeal, Void",Any land or underground,8,Child of the Last Wish,,,
Chimera,Monster Manual,Large,Magical Beast,,Any land and underground,7,Chimera,,,
