Name,Source,Size,Environment,CR,Classify 1,Classify 2,Classify 3
Booka,Monstrous Compendium Greyhawk Appendix,Tiny,Temperate to subarctic/Inhabited regions,,Booka,,
Bookworm,Monstrous Compendium Volume One,Tiny,Any land,,Bookworm,,
Boowray,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny,Temperate forest,,Boowray,,
Borelas the Badger,Blood Enemies: Abominations of Cerilia,,,,Ehrshegh,Borelas the Badger,
Bouncing rubber ball,"Encyclopedia Magica, Volume IV",,,,Bouncing Rubber Ball,,
Bowlyn,Monstrous Compendium Ravenloft Appendix,Medium,Any ocean or sea,,Bowlyn,,
Bozak Draconian,1991 Trading Cards Factory Set,Medium,,,Draconian,Bozak,
Bozak Draconians,Dragonlance Classics: Volume II (DLC2),Medium,,,Draconian,Bozak,
Bragkin,Shadow Rift,,,,Changeling,Dread,Bragkin
Brain Collector,Mystara Monstrous Compendium Appendix,Large,Any,,Neh-Thalggu,,
Brain Golem,Illithiad,,,,Golem,Brain,
Brain Mole,Complete Psionics Handbook (PHBR5),Tiny,Any/Below ground,,Brain Mole,,
Brain Spider,Dragon Mountain,Medium,Subtropical/caverns,,Spider,Brain,
"Brain, Living (Rudolph Von Aubrecker)",Monstrous Compendium Ravenloft Appendix II: Children of the Night (MC15),Tiny,Dementlieu (Port-a-Lucine),,Living Brain,Rudolph Von Aubrecker,
Braintree,Dungeon #81,Large,,,Braintree,,
Brak Twan (Dwarven Tunnel Hound),Dragon #269,Medium,Any dwarven inhabited,,Dog,Brak Twan,
Bramble,Dragon #206,Tiny,"Subarctic to temperate/Grasslands, hills",,Bramble,,
Bramble Tree,Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Small to Medium,Any,,Brambleweed,Brambletree,
Brambleweed,Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Gargantuan,Any,,Brambleweed,,
Brass Dragons,Campaign Option: Council of Wyrms,,,,Dragon,Metallic,Brass
Brass Golem,Dungeon #45,Large,,,Golem,Brass,(Alternate)
Brass Minotaur,Dragon #209,Large,Any,,Golem,Brass,
Brass Snakes,Dungeon #36,Small,,,Brass Snake,,
Braxat,Dark Sun Boxed Set [The Wanderer's Journal],Huge,"Tablelands, Mountains, and Hinterlands",,Braxat,Athasian,
Brazen Bull,Dragon #270,,,,Brazen Bull,,
"Bredthrall (Slave Race), Komazar",Scarlet Brotherhood,Small,Tilvanot peninsula,,Bredthrall,Komazar,
"Bredthrall (Slave Race), Kurg",Scarlet Brotherhood,Medium,Tilvanot peninsula,,Bredthrall,Kurg,
"Bredthrall (Slave Race), Rullhow",Scarlet Brotherhood,Small,Tilvanot peninsula,,Bredthrall,Rullhow,
Breiryn,Book of Magecraft,Large,Any,,Garradalaigh,Breiryn,
Broken One,1992 Trading Cards Factory Set,Medium,,,Broken One,,
"Broken One, Common",Monstrous Manual,Medium,Any land,,Broken One,,
"Broken One, Greater",Monstrous Manual,Medium,Any land,,Broken One,Greater,
"Broken Ones, Common",Monstrous Compendium Ravenloft Appendix,Medium,Any land,,Broken One,,
"Broken Ones, Greater",Monstrous Compendium Ravenloft Appendix,Medium,Any land,,Broken One,Greater,
Brontosaurus,1991 Trading Cards Factory Set,Gargantuan,,,Dinosaur,Apatosaurus,
Bronze Dragons,Campaign Option: Council of Wyrms,,,,Dragon,Metallic,Bronze
Brown Dragon,Monstrous Manual,Gargantuan,Any arid/Desert,,Dragon,Chromatic,Brown
Brown Pelican,Dungeon #74,Small,,,Pelican,Brown,
Brown unicorn,Dragon #190,Large,Tropical/Desert,,Unicorn,Brown,
Brownie,1991 Trading Cards Factory Set,Tiny,,,Brownie,,
"Brownie, Buckawn",Monstrous Compendium Greyhawk Appendix,Tiny,Temperate/Forests,,Buckawn,,
"Brownie, Dobie",Monstrous Compendium Annual Volume Two,Tiny,Temperate rural,,Dobie,,
"Brownie, Killmoulis",Monstrous Manual,Tiny,Human areas,,Killmoulis,,
"Brownie, Quickling",Monstrous Compendium Annual Volume Two,Tiny,Temperate forests,,Quickling,,
Bruja,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Any Ravenloft but Tepest,,Bruja,,
"Brutes, Brute",Diablo II Adventure Game,,,,Wendigo,Sanctuary,Brute
"Brutes, Gargantuan Beast",Diablo II Adventure Game,,,,Wendigo,Sanctuary,Gargantuan Beast
"Brutes, Yeti",Diablo II Adventure Game,,,,Wendigo,Sanctuary,Yeti
Bubonix,Dragon Annual #2,,,,Yugoloth,Altraloth,Bubonix
Bug-a-boo,Dragon #158,Medium,Any subterranean,,Bugbear,Bug-A-Boo,
Bugbear,1992 Trading Cards Factory Set,Large,,,Bugbear,,
Bugbears,Tales of the Lance [World Book of Ansalon],Large,Any subterranean,,Bugbear,,
Bulette,1991 Trading Cards Factory Set,Large,,,Bulette,,
Bulette-Mutation,Dungeon #37,Large,Temperate/Any,,Bulette,Mutation,
"Bulette, Gohlbrorn",Monstrous Compendium Annual Volume Four,Medium,Underdark,,Bulette,Gohlbrorn,
Bull,"Encyclopedia Magica, Volume I",,,,Bull,,
Bullywug,1992 Trading Cards Factory Set,Small to Medium,,,Bullywug,,
Bullywug Monster Zombie,Dungeon #72,Large,,,Zombie,Bullywug,
"Bullywug, Advanced",Complete Book of Humanoids (PHBR10),,,,Bullywug,Advanced,
Bunyip,Monstrous Compendium Annual Volume Three,Medium,Temperate fresh water,,Bunyip,,
Buraq,1993 Trading Cards Factory Set,Large,,,Buraq,,
Burbur,Monstrous Compendium Annual Volume Three,Tiny,Any land,,Burbur,,
Burnbones,Ruins of Zhentil Keep [Monstrous Compendium booklet],Medium,Any land,,Burnbones,,
Burnflower,Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Gargantuan,Any,,Burnflower,,
Burning Man,Dragon #209,Large,Any,,Golem,Burning Man,
Burning Zombie,Crypt of Lyzandred the Mad,Medium,,,Zombie,Burning,
Burrower,Dragon #270,Huge,,,Sheen,Burrower,
Busen,Planes of Law [Monstrous Supplement],Medium,Arcadia (any),,Busen,,
Buso (Tigbanua),1992 Trading Cards Factory Set,Medium,,,Buso,Tigbanua,
"Buso, Tagamaling",Monstrous Compendium Kara-Tur Appendix,Medium,Any nonarctic forests and mountains,,Buso,Tagamaling,
"Buso, Tigbanua",Monstrous Compendium Kara-Tur Appendix,Medium,All,,Buso,Tigbanua,
Bussengeist,1991 Trading Cards Factory Set,Medium,,,Bussengeist,,
Butu,Polyhedron #121,,Hilly/Mountainous terrain,,Butu,,
Buzzard,"Encyclopedia Magica, Volume IV",,,,Buzzard,,
Buzzjewel,Monstrous Compendium Spelljammer Appendix II,Tiny,Wildspace,,Buzzjewel,,
Bvanen,Monstrous Compendium Annual Volume Three,Medium,Mountain (cliff),,Bvanen,,
Byut (Fey Deer),Dragon #269,Small,Any elven inhabited,,Deer,Byut,
Bzastra,Planescape Monstrous Compendium Appendix III,Medium,Elemental Plane of Water,,Bzastra,,
Cabhaigh,Book of Magecraft,Medium,Any temperate,,Garradalaigh,Cabhaigh,
Cacops,Dragon #176,Small,"Swamps, rivers",,Cacops,,
"Cactus, Hunting",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Small,Any,,Cactus,Hunting,
"Cactus, Rock",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Tiny,Any except forest,,Cactus,Rock,
Cairn,Dragon #254,Huge,Sub-tropical and temperate mountains,,Cairn,,
Caladrius,Glory of Rome Campaign Sourcebook (HR5),Small,Marsh,,Caladrius,,
Caller in Darkness,City by the Silt Sea [Monstrous Supplement],Special,Giustenal environs,,Caller in Darkness,Giustenal,
Callicantzari,Dragon #158,,,,Centaur,Callicantzaros,
Calnar Horse,Dwarven Kingdoms of Krynn [A World in Stone],Large,,,Horse,Calnar,
Calopus,Dragon #199,Medium,Temperate woods,,Calopus,,
Camel,1991 Trading Cards Factory Set,Large,,,Camel,,
Camel of the Pearl,Monstrous Compendium Al-Qadim Appendix (MC13),Gargantuan,Any,,Camel of the Pearl,,
"Camel of the Pearl, White Mirage",Monstrous Compendium Al-Qadim Appendix (MC13),,,,Camel of the Pearl,White Mirage,
"Camel, Desert",Monstrous Compendium Al-Qadim Appendix (MC13),Large,Any land,,Camel,,
"Camel, Giant",Dragon #167,Large,Temperate plains,,Camel,Giant,
"Camel, Mountain",Monstrous Compendium Al-Qadim Appendix (MC13),Large,Any land,,Camel,Mountain,
"Camel, Racing",Monstrous Compendium Al-Qadim Appendix (MC13),Large,Any land,,Camel,Racing,
"Camel, War",Monstrous Compendium Al-Qadim Appendix (MC13),Large,Any land,,Camel,War,
Campestri,Dungeon #41,Tiny to Small,Saltwater swamp,,Campestri,,
Caniquine,Savage Coast Monstrous Compendium Appendix,Large,Temperate,,Caniquine,,
Cantobele,Monstrous Compendium Forgotten Realms Appendix (MC11),Large,Swamps and forests,,Cantobele,,
Caracdir,Blood Enemies: Abominations of Cerilia,Medium,,,Caracdir,,
Carapace,Dragon #227,Small,Any Underdark,,Carapace,,
Carcaspirit (Ruiner),Terrors from Above,Medium,Any,,Carcaspirit,,
Carcavulp,1991 Trading Cards Factory Set,Medium,,,Carcavulp,,
Cariad ysbryd,Dragon #186,Medium,Temperate wilderness,,Cariad Ysbryd,,
Carnivorous Wall,Crypt of Lyzandred the Mad,,,,Carnivorous Wall,,
"Carp, Giant",Monstrous Compendium Kara-Tur Appendix,Large,"Tropical, subtropical, and temperate fresh water",,Carp,Giant,Oriental
Carpet Snake,Falcon's Revenge (WGA1),Small,Any,,Snake,Carpet,
Carrion Crawler,1991 Trading Cards Factory Set,Large,,,Carrion Crawler,,
Carrion Stalker,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny,Any subterranean,,Carrion Stalker,,
Carrionette,Created (RM2),Tiny,Any town or city,,Carrionette,,
Casurua,Dragon #210,Medium,"Any, primarily ruins",,Casurua,,
Cat,1991 Trading Cards Factory Set,Small,,,Cat,,
Cat (Familiar),1992 Trading Cards Factory Set,,,,Cat,Familiar,
"Cat, Change Cat",Monstrous Compendium Forgotten Realms Appendix (MC11),Small,Temperate/Forests and plains,,Cat,Changecat,
"Cat, Crypt, Normal",Awakening,Tiny,Crypt/tomb,,Cat,Crypt,Dread
"Cat, Domestic",Monstrous Compendium Forgotten Realms Appendix (MC11),Tiny,Any/Inhabited,,Cat,,
"Cat, Elven",Monstrous Compendium Forgotten Realms Appendix (MC11),Tiny,Temperate/Forests,,Cat,Elven,
"Cat, Great, Cath Shee",Monstrous Compendium Annual Volume Two,Medium,Forests,,Cat,Cath Shee,
"Cat, Great, Cheetah",Monstrous Manual,Medium,Warm plains and grasslands,,Cheetah,,
"Cat, Great, Common Lion",Monstrous Manual,Medium,Warm plains and grasslands,,Lion,,
"Cat, Great, Jaguar",Monstrous Manual,Large,Tropical jungle,,Jaguar,,
"Cat, Great, Leopard",Monstrous Manual,Medium,Tropical jungle or forest,,Leopard,,
"Cat, Great, Lynx",Monstrous Manual,Medium,Subarctic forest,,Lynx,Giant,
"Cat, Great, Mountain Lion",Monstrous Manual,Medium,Any warm or temperate,,Lion,Mountain,
"Cat, Great, Smilodon",Monstrous Manual,Large,Subarctic to tropical,,Smilodon,,
"Cat, Great, Snow Tiger",Spellbound [Monstrous Compendium],Large,Subarctic to temperate,,Tiger,Snow,
"Cat, Great, Spotted Lion",Monstrous Manual,Large,Warm plains and desert,,Lion,Spotted,
"Cat, Great, Tiger, Snow",Monstrous Compendium Annual Volume Three,Large,Subarctic to temperate wilderness,,Tiger,Snow,
"Cat, Great, Wild Tiger",Monstrous Manual,Large,Subarctic to tropical,,Tiger,,
"Cat, Luck Eater",Monstrous Compendium Forgotten Realms Appendix (MC11),Tiny,Any/Non-arctic,,Cat,Luck Eater,
"Cat, Marine",Savage Coast Monstrous Compendium Appendix,Small,Shipboard,,Cat,Marine,
"Cat, Midnight",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny,Any non-arctic urban,,Cat,Midnight,
"Cat, Plains",Awakening,Large,Temperate grasslands,,Cat,Plains,
"Cat, Psionic (Tigone)",1993 Trading Cards Factory Set,Medium,,,Cat,Psionic,Tigone
"Cat, Psionic, Tagster",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Medium,"Sandy Wastes, Tablelands",,Cat,Psionic,Tagster
"Cat, Psionic, Tigone",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Medium,"Mountains, Hinterlands",,Cat,Psionic,Tigone
"Cat, Skeletal",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny,Any,,Skeleton,Skeletal Cat,
"Cat, Small, Domestic",Monstrous Manual,Tiny,Any inhabited,,Cat,,
"Cat, Small, Elven",Monstrous Manual,Tiny,Temperate forest,,Cat,Elven,
"Cat, Small, Wild",Monstrous Manual,Tiny,Any non-arctic,,Cat,Wild,
"Cat, War",Lankhmar: City of Adventure,Large,Any,,Cat,War,
"Cat, Wild",Monstrous Compendium Forgotten Realms Appendix (MC11),Tiny,Any/Non-arctic,,Cat,Wild,
"Cat, Winged, Greater",City of Delights,Large,Temperate hills and grasslands,,Cat,Winged,Greater
"Cat, Winged, Lesser",City of Delights,Tiny,Any,,Cat,Winged,Lesser
"Cat, Winged, Tressym",Monstrous Compendium Annual Volume One,Tiny,Any temperate land,,Cat,Tressym,
Caterwaul,Monstrous Compendium Fiend Folio Appendix (MC14),Medium,Temperate mountains,,Caterwaul,,
"Catfish, Giant",Monstrous Manual,,,,Catfish,Giant,
Cath Shee,Elves of Evermeet,Medium,Forests,,Cat,Cath Shee,
Catoblepas,1991 Trading Cards Factory Set,Large,,,Catoblepas,,
"Cats, Great, Cheetah",Monstrous Compendium Volume One,Medium,Warm plains and grasslands,,Cheetah,,
"Cats, Great, Common Lion",Monstrous Compendium Volume One,Medium,Warm plains and grasslands,,Lion,,
"Cats, Great, Giant Lynx",Monstrous Compendium Volume One,Medium,Subarctic forest,,Lynx,Giant,
"Cats, Great, Jaguar",Monstrous Compendium Volume One,Large,Tropical jungle,,Jaguar,,
"Cats, Great, Leopard",Monstrous Compendium Volume One,Medium,Tropical jungle or forest,,Leopard,,
"Cats, Great, Mountain Lion",Monstrous Compendium Volume One,Medium,Any warm or temperate,,Lion,Mountain,
"Cats, Great, Smilodon",Monstrous Compendium Volume One,Large,Subarctic to tropical forest,,Smilodon,,
"Cats, Great, Spotted Lion",Monstrous Compendium Volume One,Large,Warm plains and desert,,Lion,Spotted,
"Cats, Great, Wild Tiger",Monstrous Compendium Volume One,Large,Subarctic to tropical forest,,Tiger,,
Cave Badger,Forgotten Realms Campaign Setting (New Edition) [Shadowdale],Small,,,Badger,Cave,
Cave Fisher,Black Spine [Adventure Book Three],Medium,Subterranean,,Cave Fisher,,
Cave Lords,Dragon #256,Large,,,Goblin,Cave Lord,
Cayma,Orc's Head [Book One: Orc's Head Peninsula Sourcebook],,,,Cayma,,
Cedar Spawn,Chaos Spawn: A Chaos War Adventure,Large,,,Chaos Wretch,Cedar Wretch,
Celestial Lammasu,Monstrous Compendium Outer Planes Appendix,Large,Olympus,,Lammasu,Celestial,
Centaur,Complete Book of Humanoids (PHBR10),,,,Centaur,,
Centaur (of Krynn),Monstrous Compendium Dragonlance Appendix (MC4),Medium,"Temperate/Forest, hill, and plain",,Centaur,Krynnish,
"Centaur (of Krynn), Abanasinian Centaur",Monstrous Compendium Dragonlance Appendix (MC4),,,,Centaur,Krynnish,Abanasininan
"Centaur (of Krynn), Crystalmir Centaur",Monstrous Compendium Dragonlance Appendix (MC4),,,,Centaur,Krynnish,Crystalmir
"Centaur (of Krynn), Endscape Centaur",Monstrous Compendium Dragonlance Appendix (MC4),,,,Centaur,Krynnish,Endscape
"Centaur (of Krynn), Wendle Centaur",Monstrous Compendium Dragonlance Appendix (MC4),,,,Centaur,Krynnish,Wendle
"Centaur-Kin, Dorvesh",Monstrous Compendium Annual Volume Two,Large,Temperate hill or mountain,,Dorvesh,,
"Centaur-Kin, Gnoat",Monstrous Compendium Annual Volume Two,Medium,Temperate or tropical hill or mountain,,Gnoat,,
"Centaur-Kin, Ha'pony",Monstrous Compendium Annual Volume Two,Medium,Any temperate,,Ha'pony,,
"Centaur-Kin, Zebranaur",Monstrous Compendium Annual Volume Two,Large,Temperate plains,,Zebranaur,,
"Centaur, Desert",1993 Trading Cards Factory Set,Medium,,,Centaur,Desert,
"Centaur, Nomadic",Horde Barbarian Campaign Setting,Large,Plains or steppe,,Centaur,Nomadic,
"Centaur, Sylvan",1992 Trading Cards Factory Set,Large,,,Centaur,,
Centaurs,Tales of the Lance [World Book of Ansalon],Large,Temperate,,Centaur,Krynnish,
"Centipe, Megalo-",Monstrous Compendium Volume One,Medium,Any,,Centipede,Monstrous,Medium
"Centipede, Giant",Monstrous Compendium Volume One,Tiny,Any,,Centipede,Monstrous,Tiny
"Centipede, Huge",Monstrous Compendium Volume One,Tiny,Any,,Centipede,Monstrous,Small
"Centipede, Megalo-",1993 Trading Cards Factory Set,Medium,,,Centipede,Megapede,
"Centipede, Spirit, Greater",Monstrous Compendium Kara-Tur Appendix,Small,Any nonarctic land,,Spirit Centipede,Greater,
"Centipede, Spirit, Least",Monstrous Compendium Kara-Tur Appendix,Tiny,Any nonarctic land,,Spirit Centipede,Least,
"Centipede, Spirit, Lesser",Monstrous Compendium Kara-Tur Appendix,Tiny,Any nonarctic land,,Spirit Centipede,Lesser,
"Centipede, Tunnel Worm",Monstrous Manual,Gargantuan,Subterranean,,Tunnel Worm,,
Cerberus,Legends & Lore,Huge,,,Cerberus,,
Cerebral Parasite,Complete Psionics Handbook (PHBR5),Tiny,Any/Any,,Cerebral Parasite,,
"Ceremorph, Mozgriken",Dragon #255,Small,Subterranean,,Ceremorph,Mozgriken,
"Ceremorph, Tzakandi",Dragon #255,Medium,Subterranean,,Ceremorph,Tzakandi,
Cerlic,Dragon Annual #2,,,,Yugoloth,Altraloth,Cerlic
"Cetus, Lesser",Dragon #248,Gargantuan,Subtropical/tropical seas,,Cetus,Lesser,
Ch'i-Lin,Test of the Samurai (OA7),Gargantuan,Temperate forests,,Duruch'i-lin,Ch'i-lin,
Cha'thrang,1993 Trading Cards Factory Set,Medium,,,Cha'thrang,,
Chac,Maztica Campaign Set [Maztica Alive!],Medium,Mountain caves,,Chac,,
"Chair, Automaton",Vortex of Madness and Other Planar Perils,Medium,,,Automaton,Chair,
Chakchak,Polyhedron #55,Medium,,,Chakchak,,
Champion Skeletons,Dungeon #73,Medium,,,Skeleton,Champion,
Chamrol,Dragon #174,Medium to Gargantuan,Plane of Mineral,,Chamrol,,
Changeling (Kin),Shadow Rift,Medium,The Shadow Rift,,Changeling,Dread,
"Changeling, Faerie",Blood Spawn,Small,Cerilian homes,,Changeling,Cerilian,Faerie
Chaos Beast,Planes of Chaos [Monstrous Supplement],Medium,Limbo,,Chaos Beast,,
Chaos Imp,Planes of Chaos [Monstrous Supplement],Tiny,Limbo or any,,Imp,Chaos,
Chaos Sentinel,Seeds of Chaos,Medium,,,Chaos Sentinel,,
Chaotic Evil Treant,"Encyclopedia Magica, Volume I",,,,Treant,Bag of Beans,
Charnalbalk,Dragon #243,,,,Equar,Charnalbalk,
Charuntes,Dragon #210,Medium,Any,,Charuntes,,
Chattur,1992 Trading Cards Factory Set,Small,,,Chattur,,
Chess Golems,Vortex of Madness and Other Planar Perils,Medium,,,Golem,Chess,
Chetzede,Terrors from Above,Tiny,Temperate to tropical lands,,Chetzede,,
Chevall,Mystara Monstrous Compendium Appendix,Large,"Nonarctic plains, forests, mountains",,Chevall,,
Chia Golem,Dragon #228,Large,,,Golem,Chia,
Chiang Lung (River Dragon),1992 Trading Cards Factory Set,Gargantuan,,,Dragon,Lung,Chiang Lung
Children of Maalpherus,Dungeon #57,Medium,Any,,Zombie,Child of Maalpherus,
Children of the Sea,Monstrous Compendium Annual Volume Four,Medium,Temperate ocean,,Children of the Sea,,
"Children of the Sea, Accantus",Monstrous Compendium Annual Volume Four,Medium,Coast,,Children of the Sea,Accantus,
"Children of the Sea, Standard",Taladas: The Minotaurs (DLR2),Medium,"Ocean, Temperate Ocean, Coastal",,Children of the Sea,,
Chimaera,Blood Enemies: Abominations of Cerilia,Large,,,Awnshegh,Chimaera,
Chimera,1991 Trading Cards Factory Set,Large,,,Chimera,,
"Chimera, Gorgimera",Black Spine [Adventure Book Three],Large,Any temperate to tropical,,Gorgimera,,
Chiroptawraith (Wraith-Bat),Terrors from Above,Medium,Any,,Chiroptawraith,,
Chitine,Monstrous Compendium Annual Volume One,Small,Any subterranean,,Chitine,,
"Chitine Priestess, (Choldrith)",Dragon #223,Medium,Any subterranean,,Chitine,Choldrith,
Chocolate Golem,Dragon #228,Large,,,Golem,Chocolate,
Choir Wolves,Polyhedron #78,Small,,,Wolf,Choir,
Choker,Mystara Monstrous Compendium Appendix,Small,Subterranean,,Choker,,
Chosen One,Monstrous Compendium Annual Volume Three,Medium,Any,,Chosen One,,
Chosen Ones,Spellbound [Monstrous Compendium],Medium,Any,,Chosen One,,
Chososion,Planescape Monstrous Compendium Appendix III,Medium,Inner Planes,,Chososion,,
"Chourst, Lord of Randomness",Dragon #221,Huge,Limbo,,Slaad,Lord,Chourst
Chraal,Dungeon #76,Large,Paraelemental Plane of Ice,,Chraal,,
Chromatic Mold,Dragon Annual #1,Small/Large,Subterranean/Underdark,,Chromatic Mold,,
Chromium (chrome) Dragon,Dragon #170,Gargantuan,"Arctic plains, hills, mountains, and subterranean",,Dragon,Ferrous,Chromium
Chronolily,Dragon's Rest (DLA3),Gargantuan,Ethereal plane,,Chronolily,,
Chronovoid,Chronomancer,,Temporal Prime,,Chronovoid,,
Chu-u,Monstrous Compendium Kara-Tur Appendix,Medium,Any subterranean,,Chu-u,,
Chulcrix,Dragon's Rest (DLA3),Gargantuan,Ethereal plane,,Chulcrix,,
Cildabrin,Monstrous Compendium Annual Volume Three,Huge,Warm subterranean area,,Cildabrin,,
Cilops,Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Huge,Salt flats/stony barrens,,Cilops,,
Cinnavixen,Savage Coast Monstrous Compendium Appendix,Small,Temperate forest and mountain,,Cinnavixen,,
Cistern Fiend,1993 Trading Cards Factory Set,Gargantuan,,,Cistern Fiend,,
Civatateo (mummy),Dragon Annual #1,,,,Vampire,Civatateo,
Civilized Ssurran,Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,,,,Ssurran,Civilized,
"Clam, giant",Dragon #190,Medium,Deep ocean/Hydrothermal vents,,Clam,Giant,
"Clam, Giant (Oyster)",Monstrous Compendium Annual Volume Four,Medium,Ocean shallows,,Clam,Giant,
"Clam, Giant, Carnivorous Scallop",Monstrous Compendium Annual Volume Four,Medium,Tropical shallows,,Clam,Giant,Carnivorous
Clapper,Terrors from Above,Small,"Ruins, abandoned labs",,Clapper,,
"Claw, Crawling",Monstrous Compendium Volume Three: Forgotten Realms Appendix,Tiny,Any,,Crawling Claw,,
"Claw, Crawling - Flying Fingers",Ruins of Undermountain [Undermountain Adventures],Tiny,,,Flying Finger,Swarm,
Clay Golem,1992 Trading Cards Factory Set,Large,,,Golem,Clay,
Cloaker,1991 Trading Cards Factory Set,Large,,,Cloaker,,
Cloaker Lord,Menzoberranzan [Book One: The City],Huge,Any,,Cloaker,Lord,
"Cloaker, Resplendent",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Ravenloft,,Cloaker,Resplendent,
"Cloaker, Sea",Lankhmar: City of Adventure,Medium,Salt water/Simorgya,,Cloaker,Sea,
"Cloaker, Shadow",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Ravenloft,,Cloaker,Shadow,
"Cloaker, Undead",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Ravenloft,,Cloaker,Undead,
Clockwork Horror,1993 Trading Cards Factory Set,Small,,,Clockwork Horror,,
"Clockwork Horror, Adamantine",Monstrous Compendium Annual Volume Four,Small,Any nonaquatic,,Clockwork Horror,Adamantine,
"Clockwork Horror, Adamantite",Monstrous Compendium Spelljammer Appendix,Small,Any nonaquatic,,Clockwork Horror,Adamantine,
"Clockwork Horror, Copper",Monstrous Compendium Annual Volume Four,Small,Any nonaquatic,,Clockwork Horror,Copper,
"Clockwork Horror, Electrum",Monstrous Compendium Annual Volume Four,Small,Any nonaquatic,,Clockwork Horror,Electrum,
"Clockwork Horror, Gold",Monstrous Compendium Annual Volume Four,Small,Any nonaquatic,,Clockwork Horror,Gold,
"Clockwork Horror, Platinum",Monstrous Compendium Annual Volume Four,Small,Any nonaquatic,,Clockwork Horror,Platinum,
"Clockwork Horror, Silver",Monstrous Compendium Annual Volume Four,Small,Any nonaquatic,,Clockwork Horror,Silver,
Clockwork Swordsman,Dungeon #62,Medium,Any,,Clockwork Swordsman,,
"Clockwork Swordsman, Rogue Automaton",Monstrous Compendium Annual Volume Four,,,,Clockwork Swordsman,Rogue Automaton,
Clockwork Warrior,TSR Jam 1999,Large,,,Clockwork Warrior,,
Cloud Dragon,1992 Trading Cards Factory Set,Huge to Gargantuan,,,Dragon,Cloud,
Cloud Giant,1991 Trading Cards Factory Set,Huge,,,Giant,Cloud,
Cloud of Bones,Terrors from Above,Medium,Any,,Cloud of Bones,,
Cloud Ray,Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Gargantuan,Any,,Cloud Ray,,
"Clownfish, Giant",Dragon #250,Small,"Tropical, subtropical, and temperate ocean",,Clownfish,Giant,
Clubthorn,Dragon #167,Large to Huge,Temperate forests and swamps,,Clubthorn,,
Clurichaun,Dragon #239,Tiny,Any urban,,Leprechaun,Clurichaun,
Cobalt Dragon,Dragon #170,Gargantuan,"Any forest, jungle, or subterranean",,Dragon,Ferrous,Cobalt
Cobra Trout,Elminster's Ecologies [The Settled Lands],Tiny,,,Cobra Trout,,
"Cobra, Giant",Assassin Mountain (ALQ2),Medium,Any tropical,,Snake,Cobra,Giant
"Cobra, Water",Lankhmar: City of Adventure,,,,Snake,Cobra,Water
Cockatrice,1993 Trading Cards Factory Set,Small,,,Cockatrice,,
"Cockatrice, Pyrolisk",Black Spine [Adventure Book Three],Small,"Temperate to tropical, any terrain",,Pyrolisk,,
Coelenite,Golden Voyages (ALQ1),Medium,Coral lagoon,,Coelenite,,
Coffer Corpse,Monstrous Compendium Annual Volume Three,Medium,Any,,Coffer Corpse,,
Cold Caller,Terrors from Above,Tiny,"Temperate, subarctic and arctic waterways",,Cold Caller,,
Cold Spawn,Fritz Leiber's Lankhmar,Medium,Arctic plains,,Cold Spawn,,
Cold Woman,Fritz Leiber's Lankhmar,Gargantuan,The Cold Wastes,,Cold Woman,,
Collector (miner/gatherer),Tale of the Comet [Book 1: The Cast and Props],,,,Overseer,Other Unit,Collector (miner/gatherer)
Colossus,1992 Trading Cards Factory Set,Gargantuan,,,Colossus,,
"Colossus, Stone",Old Empires (FR10),Huge,Any/Outdoors,,Colossus,Stone,Faerûnian
Coltpixy,Mystara Monstrous Compendium Appendix,Tiny to Large,Any,,Coltpixy,,
Comet Steed,Crystal Spheres (SJA3),Large,Any space,,Comet Steed,,
Common Bat,The Forbidden Sands of Anauroch #2,,,,Bat,,
Common Dragonet,Dragon #158,Medium,Temperate wilderness,,Dragonet,Common,
Con-tinh,Monstrous Compendium Kara-Tur Appendix,Medium,"Tropical, subtropical, and temperate plain, forest, jungle, hill",,Con-tinh,,
Conashellae,Polyhedron #80,Tiny,Sand or silt wastes,,Conashellae,,
Conjurer Puppet,"Encyclopedia Magica, Volume II",,,,Puppet,Conjurer,
Conqueror Butterfly,Terrors from Above,Tiny,Any temperate to tropical,,Butterfly,Conqueror,
Conscious Scarecrow,Monstrous Compendium Greyhawk Appendix,Medium,Any/Land,,Scarecrow,Conscious,
