Name,Type,Family,Size,Source,Page #,Source Type,Ed.,CR,Notes
Living catapult,?,,?,Dragon #285,99,Magazine,3,?,
Orlythys,"Outsider (Aquatic, Water, and Evil)",,Large,Dragon #285,76,Magazine,3,?,
Rukarazyll,?,,?,Dragon #285,74,Magazine,3,?,
Tralusk,?,,?,Dragon #285,77,Magazine,3,?,
Moor cat,?,,?,Dragon #286,52,Magazine,3,?,
Mord wraith,?,,?,Dragon #286,51,Magazine,3,?,
Mwellret,?,,?,Dragon #286,55,Magazine,3,?,
Rock troll,?,Troll,?,Dragon #286,53,Magazine,3,?,
Shadowen,?,,?,Dragon #286,54,Magazine,3,?,
Skull bearer,?,,?,Dragon #286,51,Magazine,3,?,
"Zombie, slaughterpit gnoll",Undead,Zombie,?,Dragon #286,89,Magazine,3,?,
Bonespitter,?,,?,Dragon #287,76,Magazine,3,?,
Chaos eater,?,,?,Dragon #287,78,Magazine,3,?,
Chaoswyrd,?,,?,Dragon #287,77,Magazine,3,?,
Dream element (template),?,,Varies,Dragon #287,34,Magazine,3,Varies,
HaMonster Manualerer,?,,?,Dragon #287,89,Magazine,3,?,
Teratamorph,?,,?,Dragon #287,80,Magazine,3,?,
Bhaalspawn (template),?,,Varies,Dragon #288,100,Magazine,3,Varies,
Abyssal maw,Outsider,,Medium,Dragon #289,111,Magazine,3,2,
Kaiju (template),?,,Varies,Dragon #289,66,Magazine,3,Varies,
Death knight (template),Undead,,Varies,Dragon #290,100,Magazine,3,Varies,
Domovoi,?,,?,Dragon #290,55,Magazine,3,?,
Leshii,?,,?,Dragon #290,56,Magazine,3,?,
Rusalka,?,,?,Dragon #290,56,Magazine,3,?,
Vila,?,,?,Dragon #290,57,Magazine,3,?,
Vodyanoi,?,,?,Dragon #290,58,Magazine,3,?,
Fox,?,,?,Dragon #291,49,Magazine,3,?,
"Fox, dire",?,,?,Dragon #291,49,Magazine,3,?,
Stone spike,?,,?,Dragon #291,101,Magazine,3,?,
Blood golem of Hextor,Construct,Golem,Large,Dragon #292,96,Magazine,3,8,
Death's head tree,?,,?,Dragon #292,76,Magazine,3,?,
"Demon, shadow demon",?,Demon,?,Dragon #292,112,Magazine,3,?,
Greenvise,?,,?,Dragon #292,77,Magazine,3,?,
Marodin,?,,?,Dragon #292,98,Magazine,3,?,
"Myconid, average worker",?,Myconid,?,Dragon #292,78,Magazine,3,?,
"Myconid, circle leader",?,Myconid,?,Dragon #292,79,Magazine,3,?,
"Myconid, elder worker",?,Myconid,?,Dragon #292,79,Magazine,3,?,
"Myconid, guard",?,Myconid,?,Dragon #292,79,Magazine,3,?,
"Myconid, junior worker",?,Myconid,?,Dragon #292,78,Magazine,3,?,
"Myconid, king",?,Myconid,?,Dragon #292,79,Magazine,3,?,
Needleman,?,,?,Dragon #292,80,Magazine,3,?,
Orcwort,Plant,,Colossal,Dragon #292,81,Magazine,3,20,
"Orcwort, wortling",Plant,,Small,Dragon #292,81,Magazine,3,3,
Red sundew,?,,?,Dragon #292,82,Magazine,3,?,
Saurial bladeback,?,Saurial,?,Dragon #292,37,Magazine,3,?,
Saurial finhead,?,Saurial,?,Dragon #292,37,Magazine,3,?,
Saurial flyer,?,Saurial,?,Dragon #292,37,Magazine,3,?,
Saurial hornhead,?,Saurial,?,Dragon #292,37,Magazine,3,?,
War ape,?,,?,Dragon #292,102,Magazine,3,?,
"Wolf, cloud",?,,?,Dragon #293,82,Magazine,3,?,
"Wolf, magma",?,,?,Dragon #293,82,Magazine,3,?,
"Wolf, mist",?,,?,Dragon #293,80,Magazine,3,?,
"Wolf, sea",?,,?,Dragon #293,81,Magazine,3,?,
"Wolf, shard",?,,?,Dragon #293,81,Magazine,3,?,
"Wolf, thunder",?,,?,Dragon #293,80,Magazine,3,?,
"Demon, cataboligne",?,Demon,?,Dragon #295,92,Magazine,3,?,
"Gingwatzim, eoluzim",?,Gingwatzim,?,Dragon #295,93,Magazine,3,?,
"Gingwatzim, graegzim",?,Gingwatzim,?,Dragon #295,93,Magazine,3,?,
"Gingwatzim, maronzim",?,Gingwatzim,?,Dragon #295,93,Magazine,3,?,
"Gingwatzim, naranzim",?,Gingwatzim,?,Dragon #295,93,Magazine,3,?,
"Gingwatzim, pakim",?,Gingwatzim,?,Dragon #295,93,Magazine,3,?,
Thorciasid,?,,?,Dragon #296,20,Magazine,3,?,
"Wurm, cave",?,Wurm,?,Dragon #296,84,Magazine,3,?,
"Wurm, forest",?,Wurm,?,Dragon #296,79,Magazine,3,?,
"Wurm, grassland",?,Wurm,?,Dragon #296,82,Magazine,3,?,
"Wurm, hill",?,Wurm,?,Dragon #296,83,Magazine,3,?,
"Wurm, lava",?,Wurm,?,Dragon #296,83,Magazine,3,?,
"Wurm, mountain",?,Wurm,?,Dragon #296,85,Magazine,3,?,
"Wurm, river",?,Wurm,?,Dragon #296,82,Magazine,3,?,
"Wurm, sand",?,Wurm,?,Dragon #296,80,Magazine,3,?,
"Wurm, sea",?,Wurm,?,Dragon #296,81,Magazine,3,?,
"Wurm, storm",?,Wurm,?,Dragon #296,84,Magazine,3,?,
"Wurm, swamp",?,Wurm,?,Dragon #296,81,Magazine,3,?,
"Wurm, tundra",?,Wurm,?,Dragon #296,80,Magazine,3,?,
"Golem, epic golem",?,Golem,?,Dragon #297,49,Magazine,3,?,
Nether creature (template),?,,Varies,Dragon #297,105,Magazine,3,Varies,
Aracholoth,Aberration,,Medium,Dragon #298,35,Magazine,3,?,
Brood mother,?,,?,Dragon #298,38,Magazine,3,?,
Proxy of Lolth,?,,?,Dragon #298,40,Magazine,3,?,
Spiderleg horror,?,,?,Dragon #298,36,Magazine,3,?,
Tentacle beast,?,,?,Dragon #298,50,Magazine,3,?,
Blood horse,?,,?,Dragon #299,52,Magazine,3,?,
Catoblepas,Aberration,,Huge,Dragon #299,53,Magazine,3,6,
Glamer,?,,?,Dragon #299,55,Magazine,3,?,
Shadovig,?,,?,Dragon #299,56,Magazine,3,?,
"Troll, tree troll",?,Troll,?,Dragon #299,57,Magazine,3,?,
Veserab,?,,?,Dragon #299,57,Magazine,3,?,
"Dragon, howling",?,Dragon,?,Dragon #300,29,Magazine,3,?,
"Dragon, pyroclastic",?,Dragon,?,Dragon #300,30,Magazine,3,?,
"Dragon, rust",?,Dragon,?,Dragon #300,31,Magazine,3,?,
"Dragon, styx",?,Dragon,?,Dragon #300,33,Magazine,3,?,
"Dragon, tarterian",?,Dragon,?,Dragon #300,37,Magazine,3,?,
Ghost brute (template),?,,Varies,Dragon #300,74,Magazine,3,Varies,
MuMonster Manualified creature (template),?,MuMonster Manualy,Varies,Dragon #300,72,Magazine,3,Varies,
Wight (template),?,,Varies,Dragon #300,75,Magazine,3,Varies,
Wraith (template),?,Wraith,Varies,Dragon #300,76,Magazine,3,Varies,
Draconic (template),?,,Varies,Dragon #301,72,Magazine,3,Varies,
Battle horror,?,,?,Dragon #302,69,Magazine,3,?,
Glyph guardian,?,,?,Dragon #302,66,Magazine,3,?,
"Golem, alchemical golem",?,Golem,?,Dragon #302,57,Magazine,3,?,
"Golem, mud golem",?,Golem,?,Dragon #302,59,Magazine,3,?,
"Golem, puzzle golem",?,Golem,?,Dragon #302,61,Magazine,3,?,
"Golem, rope golem",?,Golem,?,Dragon #302,60,Magazine,3,?,
"Golem, web golem",?,Golem,?,Dragon #302,57,Magazine,3,?,
Minogon,?,,?,Dragon #302,70,Magazine,3,?,
Old one guardian,?,,?,Dragon #302,67,Magazine,3,?,
Creator race,?,,?,Dragon #303,82,Magazine,3,?,
Deep barnacle,?,,?,Dragon #303,64,Magazine,3,?,
"Intellect devourer, battle",?,,?,Dragon #303,81,Magazine,3,?,
"Intellect devourer, skeletal",?,,?,Dragon #303,80,Magazine,3,?,
Spirit of the woods (template),?,,Varies,Dragon #303,84,Magazine,3,Varies,
Changeling,?,,?,Dragon #304,59,Magazine,3,?,
Crystalline cat,?,,?,Dragon #304,60,Magazine,3,?,
Force of nature,?,,?,Dragon #304,60,Magazine,3,?,
Green guardian,?,,?,Dragon #304,61,Magazine,3,?,
Seelie court fey (template),?,,Varies,Dragon #304,63,Magazine,3,Varies,
Spark,?,,?,Dragon #304,62,Magazine,3,?,
Unseelie fey (template),?,,Varies,Dragon #304,65,Magazine,3,Varies,
N'gatispawn,?,,?,Dragon #305,31,Magazine,3,?,
"Demon, air demon",?,Demon,?,Dragon #306,27,Magazine,3,?,
"Demon, ash demon",?,Demon,?,Dragon #306,29,Magazine,3,?,
"Demon, earth demon",?,Demon,?,Dragon #306,29,Magazine,3,?,
"Demon, fire demon",?,Demon,?,Dragon #306,30,Magazine,3,?,
"Demon, ice demon",?,Demon,?,Dragon #306,31,Magazine,3,?,
"Demon, water demon",?,Demon,?,Dragon #306,32,Magazine,3,?,
"Devil, coal devil",?,Devil,?,Dragon #306,33,Magazine,3,?,
"Devil, glass devil",?,Devil,?,Dragon #306,34,Magazine,3,?,
"Devil, lead devil",?,Devil,?,Dragon #306,36,Magazine,3,?,
"Devil, obsidian devil",?,Devil,?,Dragon #306,36,Magazine,3,?,
"Devil, sand devil",?,Devil,?,Dragon #306,37,Magazine,3,?,
"Devil, spiked devil",?,Devil,?,Dragon #306,38,Magazine,3,?,
Gormeel,?,,?,Dragon #306,57,Magazine,3,?,
"Yugoloth, battleloth, arrow",?,Yugoloth,?,Dragon #306,39,Magazine,3,?,
"Yugoloth, battleloth, axe",?,Yugoloth,?,Dragon #306,40,Magazine,3,?,
"Yugoloth, battleloth, crossbow",?,Yugoloth,?,Dragon #306,40,Magazine,3,?,
"Yugoloth, battleloth, pick",?,Yugoloth,?,Dragon #306,40,Magazine,3,?,
"Yugoloth, battleloth, spiked chain",?,Yugoloth,?,Dragon #306,41,Magazine,3,?,
"Yugoloth, battleloth, sword",?,Yugoloth,?,Dragon #306,42,Magazine,3,?,
Air element (template),?,,Varies,Dragon #307,23,Magazine,3,Varies,
Bodak (template),?,,Varies,Dragon #307,39,Magazine,3,Varies,
Dweomervore,?,,?,Dragon #307,28,Magazine,3,?,
Ghastly (template),?,,Varies,Dragon #307,42,Magazine,3,Varies,
Ghoulish (template),?,,Varies,Dragon #307,41,Magazine,3,Varies,
Half air elemental (template),?,Elemental,Varies,Dragon #307,22,Magazine,3,Varies,
Scion of Kyuss (template),?,Kyuss,Varies,Dragon #307,43,Magazine,3,Varies,
Splinterwaif,?,,?,Dragon #307,31,Magazine,3,?,
Trap haunt (template),?,,Varies,Dragon #307,32,Magazine,3,Varies,
Wilora,?,,?,Dragon #307,34,Magazine,3,?,
Ironmaw seedling,?,,?,Dragon #308,47,Magazine,3,?,
"Mind flayer symbiont, backwatcher",?,Mind flayer,?,Dragon #308,58,Magazine,3,?,
"Mind flayer symbiont, fastbreak",?,Mind flayer,?,Dragon #308,56,Magazine,3,?,
"Mind flayer symbiont, hardy",?,Mind flayer,?,Dragon #308,56,Magazine,3,?,
"Mind flayer symbiont, mnemonicus",?,Mind flayer,?,Dragon #308,58,Magazine,3,?,
"Mind flayer symbiont, silent",?,Mind flayer,?,Dragon #308,57,Magazine,3,?,
"Mind flayer symbiont, slippery",?,Mind flayer,?,Dragon #308,56,Magazine,3,?,
"Mind flayer symbiont, strongarm",?,Mind flayer,?,Dragon #308,56,Magazine,3,?,
"Mind flayer symbiont, wriggler",?,Mind flayer,?,Dragon #308,60,Magazine,3,?,
Crawling slaughter,?,,?,Dragon #309,26,Magazine,3.5,?,
Death hurler,?,,?,Dragon #309,27,Magazine,3.5,?,
Golem swarm,?,Golem,?,Dragon #309,28,Magazine,3.5,?,
Guardian steed,?,,?,Dragon #309,30,Magazine,3.5,?,
Wardrake,?,,?,Dragon #309,33,Magazine,3.5,?,
"Demon, turagathshnee",?,Demon,?,Dragon #312,72,Magazine,3.5,?,
Turagathshnee,?,,?,Dragon #312,72,Magazine,3.5,?,
Deathtouched (template),?,,Varies,Dragon #313,66,Magazine,3.5,Varies,
"Dragon, nameless (template)",Dragon,Dragon,Varies,Dragon #313,75,Magazine,3.5,Varies,
"Dragon, ravening (template)",?,Dragon,Varies,Dragon #313,77,Magazine,3.5,Varies,
"Dragon, riddled (template)",?,Dragon,Varies,Dragon #313,78,Magazine,3.5,Varies,
"Dragon, spellhoarding (template)",?,Dragon,Varies,Dragon #313,79,Magazine,3.5,Varies,
"Dragon, wandering (template)",?,Dragon,Varies,Dragon #313,81,Magazine,3.5,Varies,
Elder serpent (template),?,,Varies,Dragon #313,85,Magazine,3.5,Varies,
Fetch (template),?,,Varies,Dragon #313,62,Magazine,3.5,Varies,
Gheden (template),?,,Varies,Dragon #313,63,Magazine,3.5,Varies,
Ghul (template),?,,Varies,Dragon #313,63,Magazine,3.5,Varies,
Half-doppelganger (template),?,,Varies,Dragon #313,93,Magazine,3.5,Varies,
Half-janni (template),?,,Varies,Dragon #313,93,Magazine,3.5,Varies,
Half-minotaur (template),?,,Varies,Dragon #313,94,Magazine,3.5,Varies,
Half-nymph (template),?,,Varies,Dragon #313,95,Magazine,3.5,Varies,
Half-ogre (template),?,,Varies,Dragon #313,95,Magazine,3.5,Varies,
Half-rakshasa (template),?,,Varies,Dragon #313,96,Magazine,3.5,Varies,
Half-satyr (template),?,,Varies,Dragon #313,96,Magazine,3.5,Varies,
Half-undead (template),?,,Varies,Dragon #313,60,Magazine,3.5,Varies,
Katane (template),?,,Varies,Dragon #313,64,Magazine,3.5,Varies,
Creeping stone,?,,?,Dragon #314,30,Magazine,3.5,?,
Fire-souled (template),?,,Varies,Dragon #314,22,Magazine,3.5,Varies,
"Salamander larva, average",?,Salamander,?,Dragon #314,50,Magazine,3.5,?,
"Salamander larva, flamebrother",?,Salamander,?,Dragon #314,50,Magazine,3.5,?,
Fleshvigor (template),?,,Varies,Dragon #315,59,Magazine,3.5,Varies,
"Gen, air",?,Genie,?,Dragon #315,82,Magazine,3.5,?,
"Gen, earth",?,Genie,?,Dragon #315,82,Magazine,3.5,?,
"Gen, fire",?,Genie,?,Dragon #315,83,Magazine,3.5,?,
"Gen, water",?,Genie,?,Dragon #315,83,Magazine,3.5,?,
Ka-tainted (template),?,,Varies,Dragon #315,23,Magazine,3.5,Varies,
T'liz (template),?,,Varies,Dragon #315,36,Magazine,3.5,Varies,
Tortle,?,,?,Dragon #315,72,Magazine,3.5,?,
Chaneque,?,,?,Dragon #317,64,Magazine,3.5,?,
Cipactli,?,,?,Dragon #317,63,Magazine,3.5,?,
Eldritch archer,?,,?,Dragon #317,73,Magazine,3.5,?,
"Golem, ice golem",Construct (cold),Golem,Large,Dragon #317,74,Magazine,3.5,12,
Jungle spider,?,,?,Dragon #317,75,Magazine,3.5,?,
Quinametin,?,,?,Dragon #317,65,Magazine,3.5,?,
"Spider, jungle spider",?,,?,Dragon #317,75,Magazine,3.5,?,
Thunder,?,,?,Dragon #317,65,Magazine,3.5,?,
Xilob,?,,?,Dragon #317,66,Magazine,3.5,?,
Xtabay,?,,?,Dragon #317,67,Magazine,3.5,?,
"Dinosaur, compsognathus",?,Dinosaur,?,Dragon #318,64,Magazine,3.5,?,
"Dinosaur, dimetrodon",?,Dinosaur,?,Dragon #318,64,Magazine,3.5,?,
"Dinosaur, diplodocus",?,Dinosaur,?,Dragon #318,64,Magazine,3.5,?,
"Dinosaur, giganotosaurus",?,Dinosaur,?,Dragon #318,65,Magazine,3.5,?,
"Dinosaur, liopleurodon",?,Dinosaur,?,Dragon #318,66,Magazine,3.5,?,
"Dinosaur, pachycephalosaurus",?,Dinosaur,?,Dragon #318,67,Magazine,3.5,?,
"Dinosaur, parasaurolophus",?,Dinosaur,?,Dragon #318,67,Magazine,3.5,?,
"Dinosaur, rhamphorhynchus",?,Dinosaur,?,Dragon #318,68,Magazine,3.5,?,
"Dinosaur, stegosaurus",?,Dinosaur,?,Dragon #318,68,Magazine,3.5,?,
Helicoprion,?,,?,Dragon #318,66,Magazine,3.5,?,
Larval flayer,?,,?,Dragon #318,91,Magazine,3.5,?,
"Mind flayer, larval",?,Mind flayer,?,Dragon #318,91,Magazine,3.5,?,
Pteranadon,?,,?,Dragon #318,68,Magazine,3.5,?,
Shadow eft,?,,?,Dragon #318,91,Magazine,3.5,?,
Troodon,?,,?,Dragon #318,74,Magazine,3.5,?,
Beetle buckler,?,,?,Dragon #319,42,Magazine,3.5,?,
Living cloudkill,?,,?,Dragon #319,54,Magazine,3.5,?,
Ravenous (template),?,,Varies,Dragon #319,79,Magazine,3.5,Varies,
"Crayfish, giant",?,,?,Dragon #321,60,Magazine,3.5,?,
"Dragon, adamantine",?,Dragon,?,Dragon #321,44,Magazine,3.5,?,
"Dragon, arboreal",?,Dragon,?,Dragon #321,46,Magazine,3.5,?,
"Dragon, archdragon (template)",?,Dragon,Varies,Dragon #321,54,Magazine,3.5,Varies,
"Dragon, axial",?,Dragon,?,Dragon #321,48,Magazine,3.5,?,
"Dragon, beast",?,Dragon,?,Dragon #321,50,Magazine,3.5,?,
"Dragon, concordant",?,Dragon,?,Dragon #321,52,Magazine,3.5,?,
"Gar, giant",?,,?,Dragon #321,60,Magazine,3.5,?,
GliMonster Manualerfolk,?,,?,Dragon #321,71,Magazine,3.5,?,
Prismfly swarm,?,,?,Dragon #321,72,Magazine,3.5,?,
Radiant (template),?,,Varies,Dragon #321,73,Magazine,3.5,Varies,
Rainbow dweller,?,,?,Dragon #321,75,Magazine,3.5,?,
"Tick, giant",?,,?,Dragon #321,61,Magazine,3.5,?,
Beacon moth,?,,?,Dragon #322,20,Magazine,3.5,?,
Nether hound (template),?,,Varies,Dragon #322,88,Magazine,3.5,Varies,
"Pseudo-elemental, darkness",?,,?,Dragon #322,66,Magazine,3.5,?,
Riding bird (Chocobo),?,,?,Dragon #323,34,Magazine,3.5,?,
Black ice golem,?,Golem,?,Dragon #324,59,Magazine,3.5,?,
Dal quor drifter,?,,?,Dragon #324,46,Magazine,3.5,?,
Dal quor eidolon,?,,?,Dragon #324,46,Magazine,3.5,?,
"Golem, black ice golem",?,Golem,?,Dragon #324,59,Magazine,3.5,?,
Hob,?,,?,Dragon #324,46,Magazine,3.5,?,
Icy prisoner,?,,?,Dragon #324,59,Magazine,3.5,?,
MuMonster Manualy mites,?,MuMonster Manualy,?,Dragon #324,57,Magazine,3.5,?,
Quori,"Outsider (evil, extraplanar, lawful, psionic, quori)",Quori,Varies,Dragon #324,48,Magazine,3.5,Varies,
"Quori, du'lora (dark fury)","Outsider (evil, extraplanar, lawful, psionic, quori)",Quori,Large,Dragon #324,49,Magazine,3.5,8,
"Quori, hashalaq (dreamstealer)","Outsider (evil, extraplanar, lawful, psionic, quori)",Quori,Medium,Dragon #324,51,Magazine,3.5,6,
"Quori, kalaraq (eyebinder)","Outsider (evil, extraplanar, incorporeal, lawful, psionic, quori)",Quori,Medium,Dragon #324,53,Magazine,3.5,15,
Spellshadow,?,,?,Dragon #324,47,Magazine,3.5,?,
Steaming soldier,?,,?,Dragon #324,60,Magazine,3.5,?,
Winterling,?,,?,Dragon #324,61,Magazine,3.5,?,
Orangeseer,?,,?,Dragon #325,33,Magazine,3.5,?,
Sandworm (dune),?,,?,Dragon #325,33,Magazine,3.5,?,
"Ape, snow",Animal,,Large,Dragon #328,84,Magazine,3.5,2,
Elephant seal,Animal,,Huge,Dragon #328,84,Magazine,3.5,5,
Komodo dragon,Animal,,Medium,Dragon #328,84,Magazine,3.5,2,
Moray eel,Animal (aquatic),,Medium,Dragon #328,84,Magazine,3.5,1,
"Vulture, giant",Magical beast,,Large,Dragon #328,84,Magazine,3.5,3,
Anzu,?,,?,Dragon #329,65,Magazine,3.5,?,
Firedrake,?,,?,Dragon #329,28,Magazine,3.5,?,
Living fireball,?,Living spell,?,Dragon #329,80,Magazine,3.5,?,
Amoebic crawler,?,,?,Dragon #330,32,Magazine,3.5,?,
Cranial encyster,?,,?,Dragon #330,34,Magazine,3.5,?,
Kaortic hulk,?,,?,Dragon #330,35,Magazine,3.5,?,
Nightseed,?,Nightmare,?,Dragon #330,36,Magazine,3.5,?,
"Brownie, house",?,,?,Dragon #331,76,Magazine,3.5,?,
House brownie,?,,?,Dragon #331,76,Magazine,3.5,?,
Elk,?,,?,Dragon #333,87,Magazine,3.5,?,
Guardian ship,?,,?,Dragon #333,76,Magazine,3.5,?,
Skurchur,?,,?,Dragon #333,35,Magazine,3.5,?,
Asag,?,,?,Dragon #334,37,Magazine,3.5,?,
Clockwork eunuch,?,,?,Dragon #334,38,Magazine,3.5,?,
Flying monkey,?,,?,Dragon #334,39,Magazine,3.5,?,
"Golem, relief golem",?,Golem,?,Dragon #334,42,Magazine,3.5,?,
Humbaba,?,,?,Dragon #334,40,Magazine,3.5,?,
Simurgh,?,,?,Dragon #334,43,Magazine,3.5,?,
Favored spawn of Kyuss (template),?,Kyuss,Varies,Dragon #336,63,Magazine,3.5,Varies,
Primordial colossus,?,,?,Dragon #336,89,Magazine,3.5,?,
Basidirond,?,,?,Dragon #337,48,Magazine,3.5,?,
"Dragon, brainstealer",?,Dragon,?,Dragon #337,25,Magazine,3.5,?,
Illithocyte,?,,?,Dragon #337,27,Magazine,3.5,?,
Mind worm,?,,?,Dragon #337,28,Magazine,3.5,?,
Nerve swiMonster Manualers,?,,?,Dragon #337,31,Magazine,3.5,?,
Phycomid,?,,?,Dragon #337,50,Magazine,3.5,?,
Ustilagor,?,,?,Dragon #337,34,Magazine,3.5,?,
Vathugu,?,,?,Dragon #337,52,Magazine,3.5,?,
"Devil, Imp, choleric",?,Devil,?,Dragon #338,33,Magazine,3.5,?,
"Devil, Imp, melancholic",?,Devil,?,Dragon #338,34,Magazine,3.5,?,
"Devil, Imp, phlegmatic",?,Devil,?,Dragon #338,34,Magazine,3.5,?,
"Devil, Imp, sanguine",?,Devil,?,Dragon #338,35,Magazine,3.5,?,
Animus (template),?,,Varies,Dragon #339,44,Magazine,3.5,Varies,
Blindheim,?,,?,Dragon #339,47,Magazine,3.5,?,
Carrionette,?,,?,Dragon #339,48,Magazine,3.5,?,
Death's hand tree,?,,?,Dragon #339,49,Magazine,3.5,?,
"Dragon, greyhawk",Dragon,Dragon,Varies,Dragon #339,51,Magazine,3.5,Varies,
Dusanu,?,,?,Dragon #339,54,Magazine,3.5,?,
Goblyn,?,,?,Dragon #339,55,Magazine,3.5,?,
"Golem, maggot golem",?,Golem,?,Dragon #339,56,Magazine,3.5,?,
"Lich, Suel lich (template)",?,,Varies,Dragon #339,58,Magazine,3.5,Varies,
Nagpa (template),?,,Varies,Dragon #339,60,Magazine,3.5,Varies,
Phanaton,?,,?,Dragon #339,62,Magazine,3.5,?,
Xvart,?,,?,Dragon #339,64,Magazine,3.5,?,
Cauldron spawn (template),?,,Varies,Dragon #340,79,Magazine,3.5,Varies,
"Mooncalf, moonlord",?,,?,Dragon #340,61,Magazine,3.5,?,
Ankashar,?,,?,Dragon #341,28,Magazine,3.5,?,
Copper asp,?,,?,Dragon #341,35,Magazine,3.5,?,
Crystal cat,?,,?,Dragon #341,36,Magazine,3.5,?,
"Demon, ankashar",?,Demon,?,Dragon #341,28,Magazine,3.5,?,
"Demon, bulezau",?,Demon,?,Dragon #341,27,Magazine,3.5,?,
Erudite owl,?,,?,Dragon #341,36,Magazine,3.5,?,
Glass dragonfly,?,,?,Dragon #341,37,Magazine,3.5,?,
"Golem, fungus golem",?,Golem,?,Dragon #341,41,Magazine,3.5,?,
"Golem, junk golem",?,Golem,?,Dragon #341,41,Magazine,3.5,?,
"Golem, paper golem",?,Golem,?,Dragon #341,42,Magazine,3.5,?,
"Golem, tin golem",?,Golem,?,Dragon #341,43,Magazine,3.5,?,
"Golem, wax golem",?,Golem,?,Dragon #341,44,Magazine,3.5,?,
"Golem, wood golem",?,Golem,?,Dragon #341,45,Magazine,3.5,?,
Mercurial spider,?,,?,Dragon #341,37,Magazine,3.5,?,
Razor hawk,?,,?,Dragon #341,38,Magazine,3.5,?,
Salvage rat,?,,?,Dragon #341,38,Magazine,3.5,?,
Chupacabra,?,,?,Dragon #343,37,Magazine,3.5,?,
"Dragon, hex",?,Dragon,?,Dragon #343,39,Magazine,3.5,?,
"Dragon, tome",?,Dragon,?,Dragon #343,42,Magazine,3.5,?,
Ettercap brood swarm,?,,?,Dragon #343,68,Magazine,3.5,?,
"Golem, rune golem",?,Golem,?,Dragon #343,44,Magazine,3.5,?,
Gray shiver,?,,?,Dragon #343,46,Magazine,3.5,?,
Hellchain weaver,?,,?,Dragon #343,47,Magazine,3.5,?,
Living wall (template),?,,Varies,Dragon #343,48,Magazine,3.5,Varies,
Malfera,?,,?,Dragon #343,51,Magazine,3.5,?,
Norker,?,,?,Dragon #343,53,Magazine,3.5,?,
Nuckalavee,?,,?,Dragon #343,54,Magazine,3.5,?,
Warturtle,?,,?,Dragon #343,55,Magazine,3.5,?,
White hart,?,,?,Dragon #343,56,Magazine,3.5,?,
Wormswarm,Vermin,,Diminutive,Dragon #343,78,Magazine,3.5,10,
"Dragon, astral",?,Dragon,?,Dragon #344,27,Magazine,3.5,?,
"Dragon, chole",?,Dragon,?,Dragon #344,29,Magazine,3.5,?,
"Dragon, elysian",?,Dragon,?,Dragon #344,32,Magazine,3.5,?,
"Dragon, gloom",?,Dragon,?,Dragon #344,35,Magazine,3.5,?,
Dekayi,?,,?,Dragon #345,86,Magazine,3.5,?,
"Demon, mavawhan",?,Demon,?,Dragon #345,32,Magazine,3.5,?,
Elgonn,?,,?,Dragon #345,87,Magazine,3.5,?,
Hound of Kostchtchie,?,,?,Dragon #345,29,Magazine,3.5,?,
Jagendar,?,,?,Dragon #345,87,Magazine,3.5,?,
Mavawhan,?,,?,Dragon #345,32,Magazine,3.5,?,
Sea serpent,?,,?,Dragon #345,54,Magazine,3.5,?,
"Sea serpent, crested",?,,?,Dragon #345,56,Magazine,3.5,?,
"Sea serpent, lantern",?,,?,Dragon #345,58,Magazine,3.5,?,
"Sea serpent, spiked",?,,?,Dragon #345,61,Magazine,3.5,?,
Taga'rivvin,?,,?,Dragon #345,87,Magazine,3.5,?,
"Elemental weird, lesser",?,Elemental,?,Dragon #347,70,Magazine,3.5,?,
"Monolith, ice",?,Elemental,?,Dragon #347,54,Magazine,3.5,?,
"Monolith, magma",?,Elemental,?,Dragon #347,55,Magazine,3.5,?,
"Monolith, ooze",?,Elemental,?,Dragon #347,55,Magazine,3.5,?,
"Monolith, smoke",?,Elemental,?,Dragon #347,56,Magazine,3.5,?,
"Paraelemental creature, ice (template)",?,Elemental,Varies,Dragon #347,58,Magazine,3.5,Varies,
"Paraelemental creature, magma (template)",?,Elemental,Varies,Dragon #347,60,Magazine,3.5,Varies,
"Paraelemental creature, ooze (template)",?,Elemental,Varies,Dragon #347,61,Magazine,3.5,Varies,
"Paraelemental creature, smoke (template)",?,Elemental,Varies,Dragon #347,63,Magazine,3.5,Varies,
Akleu,?,,?,Dragon #348,50,Magazine,3.5,?,
Dolgrue,?,,?,Dragon #348,51,Magazine,3.5,?,
Kyra,?,,?,Dragon #348,52,Magazine,3.5,?,
Opabinia,?,,?,Dragon #348,56,Magazine,3.5,?,
"Vampire, savage (template)",?,Vampire,Varies,Dragon #348,39,Magazine,3.5,Varies,
"Vampire, shadow (template)",?,Vampire,Varies,Dragon #348,42,Magazine,3.5,Varies,
"Vampire, terror (template)",?,Vampire,Varies,Dragon #348,44,Magazine,3.5,Varies,
Xenostelid,?,,?,Dragon #348,57,Magazine,3.5,?,
Xorbeast,?,,?,Dragon #348,58,Magazine,3.5,?,
"Demon, uzollru",?,Demon,?,Dragon #349,40,Magazine,3.5,?,
"Dragon, dzalmaus",?,Dragon,?,Dragon #349,62,Magazine,3.5,?,
Dzalmaus,?,,?,Dragon #349,62,Magazine,3.5,?,
Kuo-toa voice of Dagon,?,Kuo-toa,?,Dragon #349,40,Magazine,3.5,?,
